Charge Code,,Charge Description,Fee Schedule,,,,,,,,,,,,,,,,,,,,,,,,
CD000042,,ECHO DOPPLER LTD,$649.00,,,,,,,,,,,,,,,,,,,,,,,,
CD000043,,ECHO INTRACARD-RAD S&I ADD-ON,"$5,055.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000044,,ECHO REST STRESS,"$3,552.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000045,,ECHO TRNSES-PLC I&R-CONG ANOM,"$2,556.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000049,,ECHO TRANSESHOPHAGEAL,"$5,176.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000051,,EP EVAL COMP RT-W/O INDUCTION,"$12,124.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000052,,EP EVAL COMP RT-W/ INDUCTION,"$18,557.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000053,,EP EVAL COMP W LT VENT RCRDG,"$12,610.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000054,,EP EVAL COMP W/ LA/CS RCRDG,"$22,691.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000055,,EVAL ICD LEADS W GEN TSTNG,"$9,430.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000056,,EP FOLLOW-UP W PACING/RCRDG,"$5,431.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000058,,EVAL ICD LEADS W PRGM/REPRGM,"$3,187.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000060,,EVAL PPM ANTITACHYCARDIA,$547.00,,,,,,,,,,,,,,,,,,,,,,,,
CD000067,,PACING INTRA-ATRIAL,"$10,616.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000068,,PACING INTRAVENTRICULAR,"$10,616.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000070,,PACING/STIM AFTER IV--ADD-ON,"$5,969.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000072,,RCRDG BUNDLE OF HIS,"$4,693.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000073,,RCRDG INTRA-ATRIAL,"$10,616.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000076,,RCRDG RT VENT,"$5,384.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000078,,RCRDG W I/VENT I/ATR MAPPING,"$6,360.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000085,,TILT TABLE EVAL,"$2,190.00",,,,,,,,,,,,,,,,,,,,,,,,
