ITEM #,ITEM DESCRIPTION,ITEM PRICE
13250147,SCREW CAPTURED 5.0 X 85      71642285,534.66 
13250148,SCREW CORTICAL SFTP 3.5 X 10    71149510,62.13 
13250149,PLATE TUBULAR 8 HOLE            71130308,176.44 
13250150,DRIVER MEDIUM HEX         71631066,"2,268.00 "
13250152,BIOPSY DEVICE SUPERCORE 18X15 701218150,128.73 
13250153,CATHETER SKATER 8X30  756508030,200.00 
13250154,CATHETER SKATER 10X30  756510030,200.00 
13250155,INTRODUCER SKATER 651506300,198.30 
13250156,BAG DRAINAGE DBAG600,26.66 
13250157,DILATOR PYLORIC COLONIC 60FR 000861,336.00 
13250158,CATHETER CENTESIS SKATER 5X15 700305015,56.23 
13250163,CONTRAST INJECT LINE 10  H965910311021,6.66 
13250165,COMPENSATION MANIFOLD  H96570058301,46.00 
13250168,PAD ZOLL DEFIB MULTIFUNC C/LAB 8900-4005,150.00 
13250171,IMPLANT MENTOR PROFILE PLUS     320-2375,"2,187.51 "
13250172,LINER CANNISTER 2000ML        G905A52,30.28 
13250173,TUBING PSI TEC            PT-5558,42.70 
13250174,TUBING FILTER CONNECTING   PT-5558F,1.02 
13250175,HANDPIECE RECIPROCATING     ARC-HII,250.26 
13250176,CAP COLEMAN LUER-LOCK     COL-LL CAP,3.15 
13250177,TUBING INFILTRATION BYRON   CG-INF-T,30.10 
13250178,KIT ASPIRATOR START UP   PT-III-ASP KIT,"1,400.01 "
13250179,PORT BARD 9.6 FR         0604550,840.00 
13250181,FILTER LIPO            PT-100038,71.40 
13250186,NOVASURE STERILE DEVICE KIT    NS2007US,"4,441.00 "
13250187,TUBE TRACHEOSTOMY 8 FENESTRATED   8FEN,124.32 
13250191,CATHETER CARDIAC 4F MULTI-PUR A-1 4A0021,88.20 
13250193,SKIN SCRUB OR KENDALL  FRMR# 41591,21.00 
13250194,FILTER VENA TECH LP VENA CAVA 5010024,"4,664.00 "
13250196,BLANKET THERMAL UNIT LG        ST-060,120.59 
13250197,PACEMAKER TEMP,73.24 
13250198,LEAD PACEMAKER LEAD BIPOL,317.21 
13250203,IMMOBILIZER WRIST RT          79-87500,123.11 
13250204,DRESSING NUGAUZE IODOFORM 2   NON256025H,18.42 
