BILL ITEM ID,LONG DESCRIPTION,CPT-4,HCPCS,REVENUE, TMMC Standard Price Schedule ,TMMC OP Lab Price Schedule
7921986,TROC 3.2MM 3.2MM TRGN PIN SRG 71751136,,C1713,278, $704.00 ,
7921987,SCR BONE 3.5MM 5.9MM 55MM PRLC 71821355,,C1713,278, $96.00 ,
7921999,Stent Omilink 6X39X135 1012629-39,,C1876,278," $2,400.00 ",
7922006,Coil Embol Azur 8X20X175 45-480820,,,278," $2,880.00 ",
7922007,Coil Azur CX 10X32X175 45-781032,,,278," $2,550.00 ",
7922008,Coil Azur CX 5X16X175 45-780516,,,278," $2,550.00 ",
7923953,SCR BONE 3.7MM 36MM 25MM SS 02.240.236,,C1713,278, $332.00 ,
7923954,SCR BONE 3MM 2MM 36MM 9MM SS 02.226.036,,C1713,278, $987.00 ,
7923955,SCR BONE 3MM 2MM 1.1MM 32MM 7 02.226.032,,C1713,278, $987.00 ,
7923956,SCR BONE 3.5MM 10MM LCK TCP 07-710,,C1713,278, $645.00 ,
7923957,SCR 3.5 X 10MM LCKG TCP SYSTEM 05-307,,C1713,278, $96.00 ,
7923960,IMPL BRST 800CC GEL RND SMTH 350-5800BC,,C1789,278," $3,015.00 ",
7923961,IMPL BRST 11.7CMX4.7CM HSC+ 10721-330HP,,C1789,278," $2,685.00 ",
7923964,STY LD 58CM .016IN KIT STRG 6093-58,,,278, $120.00 ,
7923967,SCR BONE 10.5MM 105MM GAMMA3 3060-0105S,,C1713,278," $1,953.00 ",
7928030,MESH 15X10CM BMM1015,,C1781,278," $5,535.00 ",
7928040,PMMA BONE CEMENT OP-0003,,,278," $1,080.00 ",
7930000,AICD Inogen EL DR D143,,C1721,278," $43,200.00 ",
7930002,EP Cath Esophastar F8ENNNNHSB,,C1732,278," $1,332.00 ",
7930026,SCR BONE 7MM 80MM CANC CAND 8040-080,,C1713,278," $1,406.00 ",
7930027,SCR BONE 7MM 75MM CANC CAND 8040-075,,C1713,278," $1,406.00 ",
7932054,Stent BVS Absorb RX 2.5X8 1234250-08,,C1874,278," $5,100.00 ",
