ACTIVITY TYPE,CDM_DESC, UNIT_AMT ,BILL_ITEM_ID
AFC GENERIC ADD-ON,RHEUM FAC OP ESTABLISHED LEVEL 1,$113.00 ,5341811
AFC GENERIC ADD-ON,RHEUM FAC OP ESTABLISHED LEVEL 2,$113.00 ,5340532
AFC GENERIC ADD-ON,RHEUM FAC OP ESTABLISHED LEVEL 3,$113.00 ,5340531
AFC GENERIC ADD-ON,RHEUM FAC OP ESTABLISHED LEVEL 4,$113.00 ,5340530
AFC GENERIC ADD-ON,RHEUM FAC OP ESTABLISHED LEVEL 5,$113.00 ,5340529
AFC GENERIC ADD-ON,RHEUM FAC OP NEW PATIENT LEVEL 1,$113.00 ,5346562
AFC GENERIC ADD-ON,RHEUM FAC OP NEW PATIENT LEVEL 2,$113.00 ,5340528
AFC GENERIC ADD-ON,RHEUM FAC OP NEW PATIENT LEVEL 3,$113.00 ,5340527
AFC GENERIC ADD-ON,Rheum Intramuscular Injection,$75.00 ,5334221
AFC GENERIC ADD-ON,Rheum IV Therapeutic 1st hour,$300.00 ,5334286
AFC GENERIC ADD-ON,Rheum Ketorolac Tromethamine 15 mg,$18.00 ,5334326
AFC GENERIC ADD-ON,Rheum Methylprednisolone Sodium Succinate 125 mg I,$71.00 ,5334301
AFC GENERIC ADD-ON,RHEUM NP/PA OP ESTABLISHED LEVEL 1,$26.00 ,5341840
AFC GENERIC ADD-ON,RHEUM NP/PA OP ESTABLISHED LEVEL 3,$63.00 ,5341842
AFC GENERIC ADD-ON,RHEUM NP/PA OP ESTABLISHED LEVEL 4,$95.00 ,5341843
AFC GENERIC ADD-ON,RHEUM NP/PA OP ESTABLISHED LEVEL 5,$122.00 ,5341844
AFC GENERIC ADD-ON,RHEUM NP/PA OP NEW PATIENT LEVEL 4,$124.00 ,5347140
AFC GENERIC ADD-ON,RHEUM NP/PA OP NEW PATIENT LEVEL 5,$162.00 ,5347809
AFC GENERIC ADD-ON,RSP METHEMOGLOBIN,$43.00 ,5340864
AFC GENERIC ADD-ON,RSP THORACENTESIS TRAY,$106.00 ,5239827
AFC GENERIC ADD-ON,RT RP THERAPY INTRAVENOUS ADMINISTRATION,$298.00 ,5340547
AFC GENERIC ADD-ON,THC JELCO PROTECTIVE PLUS 20 GA,$8.00 ,5239832
AFC GENERIC ADD-ON,THC SET CATH EXT W/LL CATH,$10.00 ,5239831
Anatomic Pathology,38220 PC BONE MARROW ASPIRATION,$266.00 ,5140152
Anatomic Pathology,38222 PC BONE MARROW/STEM CELL BIOPSY/ASPIRATION,$77.00 ,5345102
Anatomic Pathology,38222 TC BONE MARROW/STEM CELL BIOPSY/ASPIRATION,"$1,685.00 ",5345101
Anatomic Pathology,81210 TC BRAF GENE,$316.00 ,5140157
Anatomic Pathology,81235 TC EGFR GENE COM VARIANTS,$582.00 ,5140158
Anatomic Pathology,81261 TC IGH GENE REARRANGE AMP METH,$476.00 ,5140159
Anatomic Pathology,81264 IGK REARRANGE ABN CLONAL POP,$340.00 ,5155747
Anatomic Pathology,81272 TC KIT GENE ANAL TARGETED SEQ ANAL,$364.00 ,5313998
Anatomic Pathology,81275 TC KRAS GENE,$348.00 ,5140161
Anatomic Pathology,"81276 TC KRAS GENE ANALYSIS,ADD'L VARIANT(S)",$331.00 ,5284630
Anatomic Pathology,81311 TC NRAS GENE ANAL VAR IN EXON 1 AND 3,$493.00 ,5313999
