Item ID,Description, Price 
162917,2.0X20 GLIDER  PTCA BALLOON,"1,386.50"
137944,2.4 MM GUIDEWIRE,390
129278,2.4 STANDARD DRILL BIT,906.36
193211,2.4MM THREAD PILOT DRILL,"1,316.00"
165894,2.4MM X 10MM GRIDLOCK SCREW,520
193203,2.5MM LOCATING PIN,"1,040.00"
193202,2.5MM PILOT DRILL,"1,057.50"
162921,2.5X20 GLIDER  PTCA BALLOON,"1,386.50"
193183,2.6MM SPADE DRIVER,"1,645.00"
193182,2.6MM SPADE PILOT DRILL,"1,645.00"
193206,2.6MM X 2.4MM X 10MM TWO-STEP,"5,250.00"
193207,2.6MM X 2.4MM X 12MM TWO-STEP,"5,250.00"
193169,2.6MM X 2.4MM X 14MM TWO-STEP,"5,250.00"
193209,2.6MM X 2.4MM X 16MM TWO-STEP,"5,250.00"
193210,2.6MM X 2.4MM X 18MM TWO-STEP,"5,250.00"
193170,2.6MM X 2.4MM X 6MM TWO-STEP H,"5,250.00"
193204,2.6MM X 2.4MM X 6MM TWO-STEP H,"5,250.00"
193208,2.6MM X 2.4MM X 6MM TWO-STEP H,"5,250.00"
193205,2.6MM X 2.4MM X 8MM TWO-STEP H,"5,250.00"
159098,2.7 X 10MM GRIDLOCK ANKLE LOCK,936
159048,2.7 X 10MM GRIDLOCK ANKLE SCRE,561.6
159099,2.7 X 12MM GRIDLOCK ANKLE LOCK,936
159049,2.7 X 12MM GRIDLOCK ANKLE SCRE,561.6
159100,2.7 X 14MM GRIDLOCK ANKLE LOCK,936
159050,2.7 X 14MM GRIDLOCK ANKLE SCRE,561.6
159101,2.7 X 16MM GRIDLOCK ANKLE LOCK,936
159051,2.7 X 16MM GRIDLOCK ANKLE SCRE,561.6
159102,2.7 X 18MM GRIDLOCK ANKLE LOCK,936
159052,2.7 X 18MM GRIDLOCK ANKLE SCRE,561.6
159103,2.7 X 20MM GRIDLOCK ANKLE LOCK,936
159053,2.7 X 20MM GRIDLOCK ANKLE SCRE,561.6
159104,2.7 X 22MM GRIDLOCK ANKLE LOCK,936
159054,2.7 X 22MM GRIDLOCK ANKLE SCRE,561.6
159105,2.7 X 24MM GRIDLOCK ANKLE LOCK,936
159055,2.7 X 24MM GRIDLOCK ANKLE SCRE,561.6
159176,2.7MM GRIDLOCK ANKLE SCREW DRI,936
159179,2.7MM GRIDLOCK ANKLE SCREW OVE,936
134980,2.8MM ANGLED SLIT KNIFE,49.6
193199,20MM X 20MM X 20MM STAPLE,"6,762.00"
193995,20X80/10FR UNI PLUS 75CM,"4,095.00"
185955,22MM X 120MM X 07MM 12 LLIF CA,"14,400.00"
185956,22MM X 120MM X 08MM 12 LLIF CA,"14,400.00"
185957,22MM X 120MM X 09MM 12 LLIF CA,"14,400.00"
185958,22MM X 120MM X 10MM 12 LLIF CA,"14,400.00"
185959,22MM X 120MM X 11MM 12 LLIF CA,"14,400.00"
185960,22MM X 120MM X 12MM 12 LLIF CA,"14,400.00"
