2019 Detailed Line Item,
 $0.03 ,ASPIRIN-ACETAMINOPHEN-CAFFEINE 250 MG-250 MG-65 MG TABLET [49371]
 $440.00 ,Assessment and recording of balance system during hot and cold irrigation of both ears
 $162.00 ,Assessment of eardrum and muscle function
 $38.00 ,Assessment of hearing loss and speech recognition
 $38.00 ,Assessment of hearing loss with placement of probe in ear to assess ear bone contraction
 $38.00 ,Assessment of speech hearing loss
 $0.83 ,ATENOLOL 25 MG TABLET [656]
 $0.92 ,ATENOLOL 50 MG TABLET [657]
 $551.05 ,"ATEZOLIZUMAB 1,200 MG/20 ML (60 MG/ML) INTRAVENOUS SOLUTION [154304]"
 $17.77 ,ATOMOXETINE 40 MG CAPSULE [52510]
 $17.77 ,ATOMOXETINE 60 MG CAPSULE [52511]
 $0.31 ,ATORVASTATIN 10 MG TABLET [44642]
 $0.37 ,ATORVASTATIN 20 MG TABLET [44341]
 $0.40 ,ATORVASTATIN 40 MG TABLET [44070]
 $0.54 ,ATORVASTATIN 80 MG TABLET [44182]
 $2.05 ,ATRACURIUM 10 MG/ML INTRAVENOUS SOLUTION [4124]
 $2.06 ,ATROPINE 0.1 MG/ML INJECTION SYRINGE [31590]
 $15.90 ,ATROPINE 1 % EYE DROPS [2911]
 $13.65 ,ATROPINE 1 MG/ML INJECTION SOLUTION [9622]
 $7.00 ,"ATROPINE SULFATE PER 0.3MG, 0."
 $641.00 ,Attempt to restart heart and lungs
 $0.25 ,Atten current status
 $0.25 ,Atten d/c status
 $0.25 ,Atten goal status
 $38.25 ,Automated urinalysis test
 $75.25 ,Automated white blood cell count
 $638.74 ,AZACITIDINE 100 MG SOLUTION FOR INJECTION [55919]
 $2.43 ,AZATHIOPRINE 50 MG TABLET [2614]
 $3.63 ,AZELASTINE 137 MCG (0.1 %) NASAL SPRAY AEROSOL [48640]
 $30.12 ,AZITHROMYCIN 1 GRAM ORAL PACKET [49573]
 $2.40 ,AZITHROMYCIN 100 MG/5 ML ORAL SUSPENSION [48236]
 $2.40 ,AZITHROMYCIN 200 MG/5 ML ORAL SUSPENSION [48737]
 $7.64 ,AZITHROMYCIN 250 MG TABLET [44705]
 $9.22 ,AZITHROMYCIN 500 MG INTRAVENOUS SOLUTION [47813]
 $16.10 ,AZITHROMYCIN 500 MG TABLET [52022]
 $77.50 ,AZITHROMYCIN 500MG/250ML IVPB
 $40.89 ,AZTREONAM 1 GRAM SOLUTION FOR INJECTION [48634]
 $83.09 ,AZTREONAM 2 GRAM SOLUTION FOR INJECTION [47326]
 $13.76 ,"BACITRACIN 50,000 UNIT INTRAMUSCULAR SOLUTION [1180]"
 $0.18 ,BACITRACIN ZINC 500 UNIT/GRAM TOPICAL OINTMENT [5858]
 $0.11 ,BACITRACIN ZINC 500 UNIT/GRAM TOPICAL PACKET [53345]
 $7.59 ,"BACITRACIN-POLYMYXIN B 500 UNIT-10,000 UNIT/GRAM EYE OINTMENT [8855]"
 $0.48 ,BACLOFEN 10 MG TABLET [5192]
 $243.25 ,Bacterial blood culture
 $125.50 ,"Bacterial colony count, urine"
 $243.25 ,Bacterial culture
 $87.25 ,Bacterial culture for aerobic isolates
 $145.25 ,Bacterial culture for anaerobic isolates
 $177.00 ,Bacterial urine culture
 $8.75 ,BAG LEG DISP LARGE
 $8.75 ,BAG LEG DISP SM
 $0.57 ,BALANCED SALT SOLUTION COMBINATION NO.2 INTRAOCULAR IRRIGATION [55404]
 $0.76 ,BALANCED SALT SOLUTION NON-SURGICAL NO.3 EYE WASH [55538]
" $13,961.75 ","Balloon dilation of arteries in one leg, endovascular, accessed through the skin or open procedure"
" $8,040.75 ","Balloon dilation of artery in one leg, endovascular, accessed through the skin or open procedure"
" $11,892.50 ","Balloon dilation of artery in one side of groin, endovascular, accessed through the skin or open procedure"
" $13,962.75 ","Balloon dilation of artery of one leg, endovascular, accessed through the skin or open procedure"
" $13,086.25 ","Balloon dilation of groin artery, endovascular, open, or percutaneous approach"
" $4,152.00 ",Balloon dilation of pancreatic or bile duct using an endoscope
 $0.65 ,BALSAM PERU-CASTOR OIL 87 MG-788 MG/GRAM TOPICAL OINTMENT [114689]
 $194.93 ,BCG LIVE 50 MG INTRAVESICAL SUSPENSION [47205]
 $0.05 ,B-COMPLEX WITH VITAMIN C TABLET [38958]
 $26.54 ,BECLOMETHASONE DIPROP 80 MCG/ACTUATION HFA BREATH ACTIVATED AEROSOL [159341]
 $226.25 ,Behavioral and qualitative analysis of voice and resonance
 $34.60 ,BELLADONNA ALKALOIDS-OPIUM 16.2 MG-60 MG RECTAL SUPPOSITORY [49308]
 $0.98 ,BENAZEPRIL 10 MG TABLET [41881]
 $767.52 ,BENDAMUSTINE 25 MG/ML INTRAVENOUS SOLUTION [151748]
 $0.81 ,BENZOCAINE 20 % MUCOSAL GEL [20266]
 $0.10 ,BENZOCAINE-MENTHOL 20 %-0.5 % TOPICAL AEROSOL [44713]
 $0.10 ,BENZOIN-ALOE VERA-STORAX-TOLU BALSAM 10 %-2 %-8 %-4 % TOPICAL TINCTURE [97758]
 $0.29 ,BENZONATATE 100 MG CAPSULE [2339]
 $0.61 ,BENZTROPINE 1 MG TABLET [6435]
 $34.13 ,BENZTROPINE 2 MG/2 ML INJECTION SOLUTION [48165]
 $166.25 ,Beta-2 microglobulin (protein) level
 $12.27 ,BETAMETHASONE ACETATE AND SODIUM PHOS 6 MG/ML SUSPENSION FOR INJECTION [46447]
 $2.07 ,BETHANECHOL CHLORIDE 10 MG TABLET [41387]
 $247.26 ,BEVACIZUMAB 25 MG/ML INTRAVENOUS SOLUTION [54932]
 $25.00 ,Bevacizumab injection
 $19.19 ,BICALUTAMIDE 50 MG TABLET [44166]
 $87.25 ,Bilirubin level
 $162.00 ,"Biofeedback training, perineal muscles, anorectal or urethral sphincter"
 $604.00 ,BIOFIX 121560 1.5X 60
 $314.00 ,Biopsy and scraping of the cervix using an endoscope
" $2,045.25 ",Biopsy of breast accessed through the skin with stereotactic guidance
" $2,726.50 ",Biopsy of breast accessed through the skin with ultrasound guidance
 $670.00 ,Biopsy of cervix or excision of local growths
" $2,835.00 ",Biopsy of cervix using an endoscope
 $675.00 ,Biopsy of external female genitals
 $326.00 ,Biopsy of eyelid
" $4,020.75 ",Biopsy of one lobe of lung using an endoscope
" $2,719.75 ",Biopsy of prostate gland
" $1,916.25 ",Biopsy of rectum and large bowel using an endoscope
" $2,080.00 ",Biopsy of roof of mouth
 $282.00 ,Biopsy of single growth of skin and/or tissue
