CDM,Description,Standard Charge,Surgery Center/Procedure Room Charge,L&D Charge,Supply Charge Range
2558994900,HB  CONTRAST OMNIPAQUE 300 PER ML, $1.00 ,,,
2558995200,HB  CONTRAST GADOLINIUM, $550.00 ,,,
2558995300,HB  CONTRAST IRON-MAGNETIC RESONANCE PER ML, $100.00 ,,,
2558995800,HB  CONTRAST HYPAQUE CYSTO PER ML, $1.00 ,,,
2558996101,HB  CONTRAST HYPAQUE 60 PER ML, $1.00 ,,,
2558996300,HB  CONTRAST GASTROVIEW PER ML, $1.00 ,,,
2558996500,HB  CONTRAST OMNIPAQUE 180 PER ML, $4.00 ,,,
2558996600,HB  CONTRAST OMNIPAQUE 240 PER ML, $4.00 ,,,
2558996701,HB  CONTRAST ULTRAVIST 370 PER ML, $1.00 ,,,
2603895700,HB NONCHEMO IV INFUSION BY PUMP >8HR, $466.00 ,,,
2609600000,HB ANTIPLATELET INFU-EACH ADDL HR, $182.00 ,,,
2609636000,HB NONCHEMO IV HYDRATION 1ST HOUR, $420.00 ,,,
2609636100,HB NONCHEMO IV HYDRATION EACH ADDL HR, $210.00 ,,,
2609636500,HB NONCHEMO IV INFUSION 1ST HOUR, $420.00 ,,,
2609636600,HB NONCHEMO IV INFUSION EACH ADDITIONAL HR, $210.00 ,,,
2609636700,HB NONCHEMO IV INFUSION SEQUENTIAL UPTO 1HR, $210.00 ,,,
2609636800,HB NONCHEMO IV INFUSION CONCURRENT EA DRUG, $210.00 ,,,
2700000261,HB GUIDEWIRE ENTEER EV3V3, $840.00 ,,,
2700000597,HB CAST SHOE, $50.00 ,,,
2700000598,HB POST-OP SHOE, $30.00 ,,,
2700000601,HB  AUD SPEECH BOOK SELF HELP LARYNG, $40.00 ,,,
2700000620,HB CIRCUMCISION SUPPLY DISPOSABLE, $120.00 ,,,
2700000950,HB PATCH FOR EXT REFERENCE 3D MAP," $1,310.00 ",,,
2700051505,HB GRAFT PTFE STD 6MMX20CM GORE, $670.00 ,,,
2700051506,HB GRAFT PTFE STD 6MMX30CM GORE," $1,100.00 ",,,
2700051508,HB GRAFT PTFE STD 6MMX40CM GORE," $1,250.00 ",,,
2700054444,HB  OCCLUS DEVICE FLORESTER SYST IMPLANT, $150.00 ,,,
2700058944,HB GRAFT PATCH SFT TISU GRTEX 20X30X1CM GORE," $4,200.00 ",,,
2700070600,HB STENT ESOPH WALL UNCOV+DELIV SYST BSCI," $6,000.00 ",,,
2700074524,HB SYSTEM BREAST MRKG SADOWSKY, $490.00 ,,,
2700080001,HB HEMOPERFUSION CLARK CARTRIDGE," $2,150.00 ",,,
2700080794,HB VAD CONTROLLER," $2,800.00 ",,,
2700090210,HB OD THORACIC RIB BELT, $90.00 ,,,
2700091800,HB KO ELASTIC+STAYS PREFAB+FIT, $160.00 ,,,
2700091815,HB KO ELAST+CONDYL PAD PREFAB+FIT, $190.00 ,,,
2700092770,HB GEN ORTH ADD-ANY MATERIAL/BAR, $170.00 ,,,
2700093651,HB SO SHLDR SGL ELASTIC PREFB+FIT, $100.00 ,,,
2700093677,HB SO STABIL HARD PLAST PREFB+FIT, $670.00 ,,,
2700093700,HB EO ELASTIC+STAYS PREFAB+FIT, $140.00 ,,,
2700095662,HB PRSTHADD-BK SOCKT INSRT SILC," $1,780.00 ",,,
2700095663,HB PRSTHADD-KD SOCKT INSRT SILC," $1,300.00 ",,,
2700095664,HB PRSTHADD-AK SOCKT INSRT SILC," $1,140.00 ",,,
2700098146,HB ORTHOSIS MC-APPLY FT HEEL LIFT, $60.00 ,,,
2700110217,HB GRAFT PTFE STD 4-6MMX30CM GORE," $1,100.00 ",,,
2700112840,HB GRAFT PTFE STD 6MMX30CM GORE," $1,100.00 ",,,
2700112841,HB GRAFT PTFE STD 6MMX40CM GORE," $1,250.00 ",,,
2700112843,HB GRAFT PTFE STD 4-6MMX50CM GORE," $1,450.00 ",,,
2700300365,HB SLEEVE SWAN, $100.00 ,,,
2700301122,HB GRAFT PATCH DURA 2CMX10CMX.3MM GORE," $1,450.00 ",,,
2700304304,HB GRAFT PTFE STD 4-6MMX40CM GORE," $1,450.00 ",,,
2700304305,HB GRAFT SOFT TISSUE 2MM 15X20 CM GORE," $1,590.00 ",,,
2700304306,HB GRAFT SOFT TISSUE 10X15CMX1MM GORE," $1,590.00 ",,,
2700304307,HB PATCH MEMBR 4CMX6CMX.1MM GORE, $440.00 ,,,
2700304435,HB GRAFT SOFT TISSUE 5X10CMX1MM GORE, $660.00 ,,,
2700304926,HB PATCH DURA 4CMX4CMX.3MM GORE, $810.00 ,,,
2700305240,HB CATH NEPHROSTOMY COPE, $440.00 ,,,
2700305825,HB SLEEVE SWAN 406501, $20.00 ,,,
2700306706,HB MEMBRANE SPINAL PRECLUDE 3X 3 GORE," $1,270.00 ",,,
2700306707,HB MEMBRANE SPINAL PRECLUDE 3X 6 GORE," $1,270.00 ",,,
2700306708,HB MEMBRANE SPINAL PRECLUDE 3X12 GORE," $1,270.00 ",,,
2700307135,HB VALVE DELTA LEVEL 2 SMALL," $2,220.00 ",,,
2700308385,HB PATCH DURA 2CMX 5CMX.3MM GORE," $1,390.00 ",,,
2700308386,HB PATCH DURA 5CMX 6CMX.3MM GORE," $1,390.00 ",,,
2700308387,HB PATCH DURA 6CMX10CMX.3MM GORE," $1,390.00 ",,,
2700309861,HB PATCH CV GRAFT 5.0CM X 7.5CM X 0.8MM GORE, $940.00 ,,,
2700309862,HB PATCH CV GRAFT 5.0CM X 7.5CM X 0.8MM GORE, $940.00 ,,,
2700309863,HB PATCH CV GRAFT 10.0CM X 15.0CM X 0.8MM GORE," $3,790.00 ",,,
2700309864,HB PATCH PERICAR 12X12CMX.1MM  GORE," $2,280.00 ",,,
2700309867,HB GRAFT PTFE RING STD 6MMX20CM," $3,420.00 ",,,
2700309868,HB GRAFT PTFE RING STD  8MMX30CM," $2,140.00 ",,,
2700309869,HB GRAFT PTFE RING STD 10MMX20CM," $2,490.00 ",,,
2700309870,HB GRAFT PTFE RING STD 12MMX20CM," $3,420.00 ",,,
2700309871,HB GRAFT PTFE RING STD 14MMX30CM," $3,420.00 ",,,
2700309872,HB GRAFT PTFE RING STD 16MMX30CM," $3,420.00 ",,,
2700309874,HB GRAFT PTFE RING STD 20MMX20CM," $2,540.00 ",,,
2700309877,HB GRAFT PTFE STRCH STD 14MMX40CM," $2,700.00 ",,,
2700309878,HB GRAFT PTFE STRCH STD 16MMX40CM," $2,700.00 ",,,
2700309882,HB GRAFT PTFE STRCH STD 3.5MM X 10CM," $1,180.00 ",,,
2700309888,HB GRAFT PTFE TW  6MMX10CM GORE, $460.00 ,,,
2700309892,HB GRAFT PTFE TW  6MMX10CM GORE, $460.00 ,,,
2700309893,HB GRAFT PTFE TW  8MMX40CM GORE," $1,450.00 ",,,
2700309894,HB GRAFT PTFE TW 10MMX30CM GORE," $1,720.00 ",,,
2700309895,HB GRAFT PTFE TW 3.5MM X 5CM GORE, $740.00 ,,,
2700309928,HB GRAFT PATCH CV 5.0CM  X  7.5CM X0.6MM GORE, $940.00 ,,,
2700309929,HB GRAFT PATCH CV 10CMX15CMX0.6MM GORE," $3,760.00 ",,,
2700310391,HB GRAFT IMA SLEEVE 17MMXX15CM," $4,390.00 ",,,
2700310392,HB GRAFT PTFE STD 10MMX80CM  GORE," $2,320.00 ",,,
2700310394,HB GRAFT PTFE STD 4.5-6.5MMX40CM," $1,450.00 ",,,
2700310395,HB GRAFT PTFE STD 4-6MMX50CM GORE," $1,790.00 ",,,
2700310396,HB GRAFT PTFE STD 4MMX40CM GORE," $1,250.00 ",,,
2700310397,HB GRAFT PTFE STD 5MMX10CM GORE, $420.00 ,,,
2700310398,HB GRAFT PTFE STD 6MMX10CM GORE, $420.00 ,,,
2700310399,HB GRAFT PTFE STD 6MMX70CM GORE," $2,030.00 ",,,
2700310400,HB GRAFT PTFE STD 6MMX80CM GORE," $2,320.00 ",,,
2700310401,HB GRAFT PTFE STRCH STD 12MMX40CM," $2,700.00 ",,,
2700310402,HB GRAFT PTFE STRCH STD 16MMX30CM," $1,830.00 ",,,
2700310403,HB GRAFT PTFE STRCH STD 18MMX20CM," $1,280.00 ",,,
2700310404,HB GRAFT PTFE STRCH STD 18MMX30CM," $1,830.00 ",,,
2700310405,HB GRAFT PTFE STRCH STD 20MMX40CM," $2,700.00 ",,,
2700310407,HB GRAFT PTFE STRCH STD 24MMX20CM," $1,280.00 ",,,
2700310408,HB GRAFT PTFE STRCH STD 6MMX40CM," $2,700.00 ",,,
2700310409,HB GRAFT PTFE STRCH STD 7MMX45CM," $1,960.00 ",,,
2700310410,HB GRAFT PTFE STRCH TW 3.5MMX.5CM, $930.00 ,,,
2700310411,HB GRAFT PTFE STRCH TW 6.0MMX50CM," $2,270.00 ",,,
2700310412,HB GRAFT PTFE STRCH TW 6.0MMX70CM," $2,980.00 ",,,
2700310413,HB GRAFT PTFE STRCH TW 6.0MMX80CM," $3,340.00 ",,,
2700310414,HB GRAFT PTFE TW 3.5MM X 5CM GORE, $740.00 ,,,
2700310415,HB GRAFT PTFE TW 6MM X 30CM GORE," $1,290.00 ",,,
2700310416,HB GRAFT PTFE TW 6MM X 40CM GORE," $1,450.00 ",,,
2700310417,HB GRAFT PTFE TW 6MM X 70CM GORE," $2,380.00 ",,,
2700310418,HB GRAFT RING STD 6MMX30CMX70CM," $3,990.00 ",,,
