"Description                             ","Price     "
"PIGTAIL PERFORMA 5-PIG-VSC 5FR 7602-20M6","    316.79"
"ORTHOCORD MICRO QA+#3/0  V-4 W/BIT  2128","   1277.50"
"MESH MPATHY SLING #516610 (REPL.OTK52NN)","   3482.50"
"MESH RESTORELLE 6CM X 5CM               ","   2012.50"
"MESH RESTORELLE DIRECT FIX ANTERIOR 5014","   4546.50"
"MESH RESTORELLE DIRECT FIX POSTERIOR (RE","   4546.50"
"K-WIRE DOUBLE DIAMOND 44 X 35           ","      8.47"
"NEEDLE EPIDURAL 17G X 5  AN-05505       ","     36.19"
"DRILL PIN DISP. KIT 1.5 MM x 100 MM     ","    735.00"
"BLADE TRICUT 4MM X 13CM M4 ROTATE  18840","   1230.25"
"FIBERLINK #2 BRAIDED PB SUTURE, BLUE W/1","    192.50"
"ANCHOR BIO-SWIVELOCK SUTURE 4.75MM X 20.","   1400.00"
"CANNULA CRYSTAL PARTIALLY THREADED AR-65","     87.50"
"CANNULA 7 X7  TWIST-IN  W/NO SQUIRT CAP ","     87.50"
"CANNULA  PASSPORT BUTTON 8MM X 4CM (PURC","    112.00"
"PLUG BIO CEMENT 12.5MM #163010          ","    420.00"
"PLUG BIO CEMENT 15MM #163015            ","    420.00"
"PLUG BIO CEMENT 17.5MM #163020          ","    420.00"
"PLUG BIO CEMENT 20MM #163025            ","    420.00"
"CLIP HEM-O-LOK MLX 544240               ","    123.55"
"SUTURE ETHICON STEEL DS23 #3 18IN 12/PK ","     31.89"
"SUTURE ETHICON STEEL DS25 #1 18IN 12/PK ","     28.46"
"SUTURE ETHICON  STEEL DS32 4-0 18IN 12/B","     31.68"
"CANNULA AND SEAL 11 X 100MM CTS12 (REPLA","     49.88"
"DRAIN MEDIASTINAL                       ","    566.02"
"CATH FOLEY 22F X 30CC                   ","    104.41"
"BLADE SAW STERNUM KM-278                ","     26.01"
"NEEDLE SELDINGER                        ","      5.36"
"CLAMP BULLDOG VASCUTATT ANGLED YELLOW   ","     70.70"
"PUNCH VASCULAR 4.5MM  QUEST RCL-4.5     ","     66.71"
"BAG TRANSFER 600ML  # 1BBT060CB71       ","     17.85"
"PACK OPEN HEART THOMAS SCV43OHTSX       ","    631.96"
"BLADE RECIPROCATING SAW MICRO 5100-037-1","    394.56"
"BRONCHOSCOPY-COMPLEX-BRONCH LAB : GI LAB","   1535.00"
"BLADE RECIPROCATING SAW MICRO 5100-137-1","    254.80"
"STABILIZER HEART OCTOPUS 4              ","   4182.50"
"GUIDE MARKED SPRING WIRE  .025 25/CS    ","     37.24"
"CARDIOBLATE BP2 DEVICE #60831           ","   8382.50"
"INSERT FOGARTY 86MM                     ","    112.60"
"CABLE AND LEAD SYSTEM 5 LEAD DISPOSABLE ","     49.00"
"PUNCH VASCULAR 4.8MM QUEST RCL-4.8      ","     66.71"
"SAPHLITE (C) MINI-LGTH F/O LIGHT PANEL 8","   1100.75"
"DRAIN MEDIASTINAL 11MM ADLER # 093-11111","     62.30"
"KIT ESSENTIALS CARTICEL # 82004         ","    822.50"
"CANNULA VESSEL W/DUCKBILL VALVE DLP #300","     20.30"
"MANIFOLD W/FOUR 6 MICRO TUBING EXT #9520","     45.61"
"SET ADMIN 3-WAY FLUID 10/CS COBE        ","     13.20"
"BLADE MICRO SHARP BEAVER 6EA/CS #377515 ","     12.08"
"BLADE MICRO SHARP BEAVER 6/BX #7513     ","     12.29"
"BURR 0.5MM X 7CM FLUTED BALL            ","    393.47"
"BLADE RADNOID/FRONTAL RECESS 1884008    ","    664.34"
"BLADE RHINOPLASTY 5100037233S2          ","    344.05"
"BLADE SAGITTAL NARROW 2108152000        ","    101.33"
"DRILL BIT TWIST  ZIMMER # 00231802706   ","    112.70"
"DRILL BIT TWIST  ZIMMER 00231802006     ","    112.70"
"DRILL BIT TWIST  ZIMMER 00231802506     ","    112.70"
"KIT FILTER VENA CAVA FEMORAL INTRODUCER ","   2887.50"
"SYSTEM GREENFIELD V/C TITAN JUG M0015030","   2887.50"
"PROS ROBERSON OFFSET PISTON TITANIUM STA","    767.90"
"SET CRICOTHYROTOMY CATH 6MM X 7.5CM C-TC","    570.29"
"KIT PROCEDURE METRA PS UPLIFT UTERINE SU","   3668.56"
"NEEDLE STRG KEITH ABDOMIN .034 WIRE DIAM","     16.03"
"DRAIN 46F PEZZER                        ","     31.50"
"T-TUBE 16F                              ","     24.12"
"KIT BARDPORT 8F INTRO                   ","    259.56"
