Procedure Code,Procedure Desc,Procedure Effective Date,Charge Category,Charge Dept ID,Charge Dept Name,Charges,
37739398,OR SCREW PRECEPT PA 5.5XVAR,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,4852.57,
37739399,OR SCREW PRECEPT PA 4.5XVAR,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,4852.57,
37739400,OR SCREW PRECEPT PA 6.5XVAR,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,4852.57,
37739401,OR SCREW PRECEPT PA 7.5XVAR,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,4852.57,
37739402,OR SCREW PRECEPT PA 8.5XVAR,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,4852.57,
37739403,STEM SOL SYS 10/VAR LG STAT,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,31045.8,
37739404,OR STEM SOL SYS 8/VAR LG STR,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,30588.28,
37739405,OR VALVE MITROFLOW AORTIC 23MM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,30582.18,
37739406,OR PLATE NXGN STMD TIB SZ 3,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,7078.3,
37739407,OR SHELL POLRCUP TI-PL SZ: VAR,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,11282.42,
37739408,OR CRT-D UNIFY 40,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,90444.93,
37739409,OR CRT-D SYS UNIFY QDRA 40 SJ4,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,120920.94,
37739410,OR STENT ICAST VARX59MMX120CM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,10912.37,
37739412,OR HEAD HUMERAL SZ VAR,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,4345.28,
37739413,OR TOGGLELOC ELBOW SYSTEM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,5088.51,
37739414,OR STEM HUMERAL EQNOX FX CMNT,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,7479.41,
37739416,OR VALVE MAGNA MITRAL 27MM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,38930.64,
37739417,OR VALVE MAGNA MITRAL 29MM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,38930.64,
37739418,OR VALVE MAGNA MITRAL 31MM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,38930.64,
37739419,OR VALVE MAGNA MITRAL 33MM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,38930.64,
37739420,OR GRIP PLATE TROC W/2 CABLES,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,7698.83,
37739423,OR VALVE MITROFLOW AORTIC 21MM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,30582.18,
37739424,OR AICD SYS INCEPTA DR HE DF4,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,85726.06,
37739425,OR CRT-D SYS INCEPTA RF HE DF4,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,121550.12,
37739426,TS TENDON SEMITENDINOSUS SNGL,01/10/2017,812,10.44210,HMA REV-GENERAL SURGERY,1950,
37739429,OR HEAD FEM LFIT V40 36MM/+10,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,5521.07,
37739430,OR ALLODERM 5CMX10CM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,5521.07,
37739431,OR STRATTICE 10X20CM FIRM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,22249.45,
37739432,OR COROENT PEEK LG OBL SZ:VAR,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,15729.56,
