"Report Date: January 3, 2019",,,
Hospital Name: Providence Kodiak Island Medical Center,,,
Chargemaster for CMS Pricing Transparency - Procedures,,,
"Hospital Charges include hospital services, pharmaceuticals and supply items necessary to treat patients.  ",,,
"This is a snapshot of the Chargemaster at a point in time, and is subject to change.",,,
These items are represented on separate tabs.,,,
Supply prices may vary based on manufacturer's cost to hospital. ,,,
"Drug prices may vary based on dosage, supplier's availability and cost to hospital.",,,
HOSPITAL SYSTEM CHARGE CODE,CHARGE DESCRIPTION,AVERAGE UNIT PRICE (INPATIENT),AVERAGE UNIT PRICE (OUTPATIENT)
Px00096310080,ANESTH SURGERY OF ABDOMEN,"$20.00 | $1,812.85","$20.00 | $1,812.85"
Px00096310085,ANESTH BLADDER STONE SURG,"$20.00 | $1,510.70","$20.00 | $1,510.70"
Px00096310088,ANESTH ABDOMEN VESSEL SURG,"$20.00 | $4,532.10","$20.00 | $4,532.10"
Px00096310089,ANESTH ANORECTAL SURGERY,"$20.00 | $1,510.70","$20.00 | $1,510.70"
Px00096310090,ANESTH PERINEAL SURGERY,"$20.00 | $2,114.98","$20.00 | $2,114.98"
Px00096310091,ANESTH REMOVAL OF VULVA,"$20.00 | $1,208.56","$20.00 | $1,208.56"
Px00096310093,ANESTH BLADDER SURGERY,$20.00 | $906.42,$20.00 | $906.42
Px00096310094,ANESTH BLADDER TUMOR SURG,"$20.00 | $1,510.70","$20.00 | $1,510.70"
Px00096310095,ANESTH REMOVAL OF PROSTATE,"$20.00 | $1,510.70","$20.00 | $1,510.70"
Px00096310096,ANESTH BLEEDING CONTROL,"$20.00 | $1,510.70","$20.00 | $1,510.70"
Px00096310097,ANESTH STONE REMOVAL,"$20.00 | $1,510.70","$20.00 | $1,510.70"
Px00096310098,ANESTH GENITALIA SURGERY,$20.00 | $906.42,$20.00 | $906.42
Px00096310099,ANESTH TESTIS EXPLORATION,"$20.00 | $1,208.56","$20.00 | $1,208.56"
Px00096310100,ANESTH REMOVAL OF TESTIS,"$20.00 | $1,208.56","$20.00 | $1,208.56"
Px00096310101,ANESTH REMOVAL OF TESTIS,"$20.00 | $1,812.85","$20.00 | $1,812.85"
Px00096310102,ANESTH TESTIS SUSPENSION,"$20.00 | $1,208.56","$20.00 | $1,208.56"
Px00096310104,ANESTH VAGINAL PROCEDURES,$20.00 | $906.42,$20.00 | $906.42
Px00096310105,ANESTH SURG ON VAG/URETHRAL,"$20.00 | $1,208.56","$20.00 | $1,208.56"
Px00096310106,ANESTH VAGINAL HYSTERECTOMY,"$20.00 | $1,812.85","$20.00 | $1,812.85"
Px00096310107,ANESTH REPAIR OF CERVIX,"$20.00 | $1,208.56","$20.00 | $1,208.56"
Px00096310108,ANESTH VAGINAL ENDOSCOPY,"$20.00 | $1,510.70","$20.00 | $1,510.70"
Px00096310109,ANESTH HYSTEROSCOPE/GRAPH,"$20.00 | $1,208.56","$20.00 | $1,208.56"
Px00096310110,ANESTH BONE ASPIRATE/BX,"$20.00 | $1,510.70","$20.00 | $1,510.70"
Px00096310111,ANESTH PELVIS SURGERY,"$20.00 | $1,812.85","$20.00 | $1,812.85"
Px00096310112,ANESTH HIP JOINT PROCEDURE,"$20.00 | $1,208.56","$20.00 | $1,208.56"
Px00096310113,ANESTH ARTHROSCOPY OF HIP,"$20.00 | $1,208.56","$20.00 | $1,208.56"
Px00096310114,ANESTH HIP JOINT SURGERY,"$20.00 | $1,812.85","$20.00 | $1,812.85"
Px00096310118,ANESTH PROCEDURE ON FEMUR,"$20.00 | $1,208.56","$20.00 | $1,208.56"
Px00096310119,ANESTH SURGERY OF FEMUR,"$20.00 | $1,812.85","$20.00 | $1,812.85"
Px00096310120,ANESTH AMPUTATION OF FEMUR,"$20.00 | $1,510.70","$20.00 | $1,510.70"
Px00096310121,ANESTH RADICAL FEMUR SURG,"$20.00 | $2,417.12","$20.00 | $2,417.12"
Px00096310122,ANESTH UPPER LEG SURGERY,"$20.00 | $1,208.56","$20.00 | $1,208.56"
Px00096310123,ANESTH UPPER LEG VEINS SURG,$20.00 | $906.42,$20.00 | $906.42
Px00096310124,ANESTH THIGH ARTERIES SURG,"$20.00 | $2,417.12","$20.00 | $2,417.12"
Px00096310125,ANESTH FEMORAL ARTERY SURG,"$20.00 | $1,208.56","$20.00 | $1,208.56"
Px00096310127,ANESTH KNEE AREA SURGERY,"$20.00 | $1,208.56","$20.00 | $1,208.56"
Px00096310128,ANESTH KNEE AREA PROCEDURE,"$20.00 | $1,208.56","$20.00 | $1,208.56"
Px00096310129,ANESTH KNEE AREA SURGERY,"$20.00 | $1,510.70","$20.00 | $1,510.70"
Px00096310130,ANESTH KNEE JOINT PROCEDURE,$20.00 | $906.42,$20.00 | $906.42
Px00096310131,ANESTH DX KNEE ARTHROSCOPY,$20.00 | $906.42,$20.00 | $906.42
Px00096310132,ANESTH KNEE AREA PROCEDURE,$20.00 | $906.42,$20.00 | $906.42
Px00096310133,ANESTH KNEE AREA SURGERY TIB/FIB/UPPER,"$20.00 | $1,208.56","$20.00 | $1,208.56"
Px00096310134,ANESTH KNEE AREA SURGERY ARTHROSCOPY,"$20.00 | $1,208.56","$20.00 | $1,208.56"
Px00096310137,ANESTH KNEE JOINT CASTING,$20.00 | $906.42,$20.00 | $906.42
Px00096310138,ANESTH KNEE VEINS SURGERY,$20.00 | $906.42,$20.00 | $906.42
Px00096310139,ANESTH KNEE ARTERIES SURG,"$20.00 | $2,417.12","$20.00 | $2,417.12"
Px00096310142,ANESTH LOWER LEG PROCEDURE,$20.00 | $906.42,$20.00 | $906.42
Px00096310143,ANESTH ANKLE/FT ARTHROSCOPY,$20.00 | $906.42,$20.00 | $906.42
Px00096310144,ANESTH LOWER LEG SURGERY,$20.00 | $906.42,$20.00 | $906.42
Px00096310145,ANESTH ACHILLES TENDON SURG,"$20.00 | $1,510.70","$20.00 | $1,510.70"
Px00096310146,ANESTH LOWER LEG SURGERY,"$20.00 | $1,510.70","$20.00 | $1,510.70"
Px00096310147,ANESTH LOWER LEG BONE SURG,$20.00 | $906.42,$20.00 | $906.42
Px00096310148,ANESTH RADICAL LEG SURGERY,"$20.00 | $1,208.56","$20.00 | $1,208.56"
Px00096310149,ANESTH LOWER LEG REVISION,"$20.00 | $1,208.56","$20.00 | $1,208.56"
Px00096310151,ANESTH LOWER LEG CASTING,$20.00 | $906.42,$20.00 | $906.42
Px00096310152,ANESTH LEG ARTERIES SURG,"$20.00 | $2,417.12","$20.00 | $2,417.12"
Px00096310154,ANESTH LOWER LEG VEIN SURG,$20.00 | $906.42,$20.00 | $906.42
Px00096310156,ANESTH SURGERY OF SHOULDER,"$20.00 | $1,510.70","$20.00 | $1,510.70"
Px00096310157,ANESTH SHOULDER PROCEDURE,"$20.00 | $1,208.56","$20.00 | $1,208.56"
Px00096310158,HC PR 01622 ANES DX SHOULDER ARTHROSCOPY,"$20.00 | $1,208.56","$20.00 | $1,208.56"
Px00096310159,ANESTH SURGERY OF SHOULDER,"$20.00 | $1,510.70","$20.00 | $1,510.70"
Px00096310162,ANESTH SHOULDER ARTERY SURG,"$20.00 | $1,812.85","$20.00 | $1,812.85"
Px00096310165,ANESTH ELBOW AREA SURGERY,$20.00 | $906.42,$20.00 | $906.42
Px00096310166,ANESTH UPPR ARM TENDON OPEN SURG,"$20.00 | $1,510.70","$20.00 | $1,510.70"
Px00096310167,ANESTH UPPR ARM  TENOPLASTY,"$20.00 | $1,510.70","$20.00 | $1,510.70"
Px00096310168,ANESTH BICEPS TENDON REPAIR,"$20.00 | $1,510.70","$20.00 | $1,510.70"
Px00096310169,ANESTH UPPR ARM PROCEDURE,$20.00 | $906.42,$20.00 | $906.42
Px00096310170,ANESTH DX ELBOW ARTHROSCOPY,$20.00 | $906.42,$20.00 | $906.42
Px00096310171,ANESTH UPPER ARM SURGERY,"$20.00 | $1,208.56","$20.00 | $1,208.56"
Px00096310172,ANESTH HUMERUS SURGERY,"$20.00 | $1,510.70","$20.00 | $1,510.70"
Px00096310173,ANESTH HUMERUS REPAIR,"$20.00 | $1,510.70","$20.00 | $1,510.70"
Px00096310175,ANESTH ELBOW REPLACEMENT,"$20.00 | $2,114.98","$20.00 | $2,114.98"
Px00096310176,ANESTH UPPR ARM ARTERY SURG,"$20.00 | $1,812.85","$20.00 | $1,812.85"
Px00096310178,ANESTH UPPER ARM VEIN SURG,$20.00 | $906.42,$20.00 | $906.42
Px00096310179,ANESTH LOWER ARM SURGERY,$20.00 | $906.42,$20.00 | $906.42
Px00096310180,ANESTH LOWER ARM PROCEDURE,$20.00 | $906.42,$20.00 | $906.42
Px00096310181,ANESTH DX WRIST ARTHROSCOPY,$20.00 | $906.42,$20.00 | $906.42
Px00096310182,ANESTH LOWER ARM SURGERY,$20.00 | $906.42,$20.00 | $906.42
Px00096310184,ANESTH LWR ARM ARTERY SURG,"$20.00 | $1,812.85","$20.00 | $1,812.85"
Px00096310186,ANESTH VASCULAR SHUNT SURG,"$20.00 | $1,812.85","$20.00 | $1,812.85"
Px00096310187,ANESTH LOWER ARM VEIN SURG,$20.00 | $906.42,$20.00 | $906.42
Px00096310188,ANESTH LOWER ARM CASTING,$20.00 | $906.42,$20.00 | $906.42
Px00096310189,ANESTH DX ARTERIOGRAPHY,"$20.00 | $1,510.70","$20.00 | $1,510.70"
Px00096310190,ANESTH CAT OR MRI SCAN,"$20.00 | $2,114.98","$20.00 | $2,114.98"
Px00096310191,ANESTH PERC IMG DX SP PROC,"$20.00 | $1,510.70","$20.00 | $1,510.70"
Px00096310192,ANESTH PERC IMG TX SP PROC,"$20.00 | $1,510.70","$20.00 | $1,510.70"
Px00096310193,ANESTH ANTEPARTUM MANIPUL,"$20.00 | $1,510.70","$20.00 | $1,510.70"
Px00096310194,ANESTH VAGINAL DELIVERY,"$20.00 | $1,510.70","$20.00 | $1,510.70"
Px00096310195,ANESTH CS DELIVERY,"$20.00 | $2,114.98","$20.00 | $2,114.98"
Px00096310196,ANESTH EMER HYSTERECTOMY,"$20.00 | $2,417.12","$20.00 | $2,417.12"
Px00096310197,ANESTH CS HYSTERECTOMY,"$20.00 | $2,417.12","$20.00 | $2,417.12"
Px00096310198,ANESTH INC/MISSED AB PROC,"$20.00 | $1,208.56","$20.00 | $1,208.56"
Px00096310200,ANES/ANALG CS DELIVER ADD-ON,$20.00 | $604.29,$20.00 | $604.29
Px00096310201,ANESTH/ANALG CS HYST ADD-ON,"$20.00 | $1,510.70","$20.00 | $1,510.70"
Px00096310203,ANESTH NERVE BLOCK/INJ,$20.00 | $906.42,$20.00 | $906.42
Px00096310204,ANESTH N BLOCK/INJ PRONE,"$20.00 | $1,510.70","$20.00 | $1,510.70"
Px00096310205,HOSP MANAGE CONT DRUG ADMIN,$926.00,$926.00
Px00096310206,UNLISTED ANESTH PROCEDURE,$302.00,$302.00
Px00096310207,SPECIAL ANESTHESIA SERVICE,$302.00,$302.00
Px00096310208,SPECIAL ANESTHESIA PROCEDURE,$302.00,$302.00
Px00096310209,EMERGENCY ANESTHESIA,$564.00,$564.00
Px00096310211,HC PR ANES MOD SEVERE SYSTEM DISEAS,$302.00,$302.00
Px00096410118,HC PR 01210 ANESTH HIP JOINT SURGERY  QZ,"$20.00 | $1,812.85","$20.00 | $1,812.85"
Px00096410147,HC PR 01462 ANESTH LOWER LEG PROCEDURE  QZ,$20.00 | $906.42,$20.00 | $906.42
Px00094210001,HC MEDICAL NUTRITION INDIV INIT EA 15 MIN,$75.00,$75.00
Px00094210013,HC MED NUTRITION INDIV SUBSEQ EA 15 MIN,$63.00,$63.00
Px00094210049,HC MEDICAL NUTRITION GROUP EA 30 MIN,$134.00,$134.00
Px00036010305,HC BRONCHOSCOPY,"$1,696.00","$1,696.00"
Px00097513752,HC PR REPR ELBOW LAT LIGMNT W/TISS,"$5,115.00","$5,115.00"
Px00036110812,HC INJ MAJOR JOINT - SHOULDER/HIP/KNEE,$501.00,$501.00
Px00075010011,HC COLONOSCOPY,"$3,919.00","$3,919.00"
Px00075010032,HC ENTEROSCOPY,"$2,265.00","$2,265.00"
Px00075010043,HC FLEXIBLE SIGMOIDOSCOPY,$918.00,$918.00
Px00075010082,HC UPPER GI,"$2,516.00","$2,516.00"
Px00098110018,NASPHARYNGOSCOPY,$616.00,$616.00
Px00076210001,HC INITIAL OBSERV/LOW CMPLX,$183.00,$183.00
Px00076210002,HC Initial observ/low cmplx w/Telemetry,$211.00,$211.00
Px00098710019,INITIAL OBSERV CARE/LOW CMPLX,$466.00,$466.00
Px00098710020,INITIAL OBSERV CARE/MOD CMPLX,$616.00,$616.00
Px00098710021,INITIAL OBSERV CARE/HIGH CMPLX,$768.00,$768.00
Px00098710022,SUBSEQ OBSERV CARE/MOD CMPLX,$252.00,$252.00
Px00098710023,SUBSEQ OBSERV CARE/HIGH CMPLX,$353.00,$353.00
Px00098710024,HC PR 99234 OBSERV/HOSP SAME DATE/LOW CMPLX,$581.00,$581.00
Px00098710025,OBSERV/HOSP SAME DATE/MOD CMPLX,$788.00,$788.00
Px00098710026,HC PR 99236 OBSERV/HOSP SAME DATE/HIGH CMPLX,$991.00,$991.00
Px00098710027,SUBSEQ OBSERV CARE/LOW CMPLX,$126.00,$126.00
Px00012010001,HC R&B-SEMI-PRIVATE,"$4,468.00","$4,468.00"
Px00012010004,HC R&B-Semi-Private Swing Bed,"$1,430.00","$1,430.00"
Px00012210001,HC R&B-Semi-Private OB,"$4,468.00","$4,468.00"
Px00012310001,HC R&B-Semi-Private Pediatric,"$5,064.00","$5,064.00"
Px00012410001,HC R&B-SEMI-PRIVATE PSYCHIATRIC,"$6,024.00","$6,024.00"
Px00012610001,HC R&B-Semi-Private Detox,"$6,024.00","$6,024.00"
Px00017010001,HC R&B NURSERY ROUTINE CARE,"$2,484.00","$2,484.00"
Px00017110001,HC R&B NURSERY/LEVEL 1,"$4,832.00","$4,832.00"
Px00017210001,HC R&B NURSERY/LEVEL 2,"$6,458.00","$6,458.00"
Px00020010001,HC INTENSIVE CARE,"$8,189.00","$8,189.00"
Px00074010003,HC MAINTENANCE WAKEFULNESS TEST,"$4,216.00","$4,216.00"
Px00074010009,HC POLYSOMNOGRAPHY 4 OR MORE,"$5,578.00","$5,578.00"
Px00074010011,HC POLYSOMNOGRAPHY W/CPAP,"$6,084.00","$6,084.00"
Px00074010015,HC Eeg awake and drowsy,"$1,391.00","$1,391.00"
Px00074010018,HC Eeg awake and asleep,"$1,838.00","$1,838.00"
Px00074010022,HC Eeg cerebral death only,"$1,217.00","$1,217.00"
Px00074010123,HC HOME SLEEP TEST/TYPE 3 PORTABLE,$486.00,$486.00
Px00092210015,HC Motor/sens nrve conduct test,$412.00,$412.00
Px00045010123,HC TEMP TRANSCUTANEOUS EXT PACING,"$1,240.00","$1,240.00"
Px00048010001,HC Cardioversion elective external,"$2,457.00","$2,457.00"
Px00098110101,TEMP TRANSCUTANEOUS EXT PACING,$288.00,$288.00
Px00098110102,CARDIOVERSION ELECTIVE EXTERNAL,"$1,442.00","$1,442.00"
Px00048010059,HC ECHO TTE 2D M-MODE LTD,"$1,164.00","$1,164.00"
Px00048310003,HC TTE ECHO 2D W/COLOR & DOP,"$3,557.00","$3,557.00"
Px00048210003,HC CARDIO STRESS TEST TRACING ONLY,"$1,726.00","$1,726.00"
Px00073010001,HC ECG 12 LEAD W/INTERP & REPORT,$785.00,$785.00
Px00073010002,HC ECG 12 LEAD TRACING ONLY,$685.00,$685.00
Px00073010003,HC RHYTHM ECG TRACING ONLY,$685.00,$685.00
Px00073110001,HC HOLTER MONITOR UP TO 48 HRS,"$1,909.00","$1,909.00"
Px00073110002,HC HOLTER MONITOR ANALYSIS & REPT,"$1,909.00","$1,909.00"
Px00071010231,HC PACU RECOVER SURG LEVEL 1 PER MIN,$20.00,$20.00
Px00071010232,HC PACU RECOVER SURG LEVEL 2 PER MIN,$21.00,$21.00
Px00071010233,HC PACU RECOVER SURG LEVEL 3 PER MIN,$28.00,$28.00
Px00071010234,HC PACU RECOVER SURG LEVEL 4 PER MIN,$34.00,$34.00
Px00036010901,HC AMNIOCENTESIS DIAGNOSTIC,"$1,115.00","$1,115.00"
Px00036010936,HC VERSION W/ FMC ULTRASOUND,"$4,013.00","$4,013.00"
Px00036010965,HC NEWBORN RESUSCITATION,$959.00,$959.00
Px00036110071,HC Spinal fluid tap diagnostic,$646.00,$646.00
Px00036110072,HC INJECT EPIDURAL PATCH,$945.00,$945.00
Px00036110073,HC FRENOTOMY LINGUAL,$652.00,$652.00
Px00040210097,HC BLADDER SCAN,$483.00,$483.00
Px00045010115,HC Treatment of miscarriage,"$1,380.00","$1,380.00"
Px00045010119,HC DELIVER PLACENTA,"$2,378.00","$2,378.00"
Px00072010027,HC VAG DEL RECOV PER HR CLASS 1,$526.00,$526.00
Px00072010030,HC VAG DEL RECOV PER HR CLASS 2,$703.00,$703.00
Px00072010033,HC VAG DEL RECOV PER HR CLASS 3,$877.00,$877.00
Px00072010036,HC VAG DEL RECOV PER HR CLASS 4,"$1,054.00","$1,054.00"
Px00072010058,HC OB DELIVERY LEVEL I,"$2,666.00","$2,666.00"
Px00072010059,HC OB DELIVERY LEVEL II,"$2,844.00","$2,844.00"
Px00072010060,HC OB DELIVERY LEVEL III,"$3,098.00","$3,098.00"
Px00072010061,HC OB DELIVERY LEVEL IV,"$3,345.00","$3,345.00"
Px00072010068,HC INTRA ACUITY PER HR CLASS 1,$305.00,$305.00
Px00072010071,HC INTRA ACUITY PER HR CLASS 2,$406.00,$406.00
Px00072010074,HC INTRA ACUITY PER HR CLASS 3,$509.00,$509.00
Px00072010077,HC INTRA ACUITY PER HR CLASS 4,$610.00,$610.00
Px00072210001,HC DELIVERY LEVEL 1,"$3,749.00","$3,749.00"
Px00072210002,HC DELIVERY LEVEL 2,"$5,232.00","$5,232.00"
Px00072210003,HC DELIVERY LEVEL 3,"$6,715.00","$6,715.00"
Px00072210004,HC DELIVERY LEVEL 4,"$9,682.00","$9,682.00"
Px00072310001,HC CIRCUMCISION W/REGIONL BLOCK,$943.00,$943.00
Px00072310003,HC CIRCUMCISION,$371.00,$371.00
Px00072410001,HC Insert cervical dilator,$874.00,$874.00
Px00076110507,HC L&D TRIAGE LVL 1,$417.00,$417.00
Px00076110526,HC L&D TRIAGE LVL 2,$581.00,$581.00
Px00076110533,HC L&D TRIAGE LVL 3,"$1,090.00","$1,090.00"
Px00076110534,HC L&D TRIAGE LVL 4,"$2,038.00","$2,038.00"
Px00076110551,HC L&D TRIAGE LVL 5,"$3,423.00","$3,423.00"
Px00045010424,HC INSERT BLADDER CATH COMPLEX,$341.00,$341.00
Px00092010032,HC FETAL NON-STRESS TEST,$396.00,$396.00
Px00094010050,HC Insert bladder catheter,$266.00,$266.00
Px00094010051,HC Insert temp bladder cath,$266.00,$266.00
Px00096310212,HC PR ANES/NEWBORN RESUSCITATION by ANESTH,$799.00,$799.00
Px00096910611,EXTERANAL VERSION,"$1,406.00","$1,406.00"
Px00096910619,VBAC DELIVERY ONLY,"$3,417.00","$3,417.00"
Px00096910621,TREATMENT OF MISCARRIAGE,"$1,941.00","$1,941.00"
Px00096910622,CARE OF MISCARRIAGE,"$1,788.00","$1,788.00"
Px00096910623,TREATMENT OF MISCARRIAGE 2ND TRI,"$2,077.00","$2,077.00"
Px00096910628,POSTPARTUM CARE ONLY,$401.00,$401.00
Px00096910629,CESAREAN DELIVERY W PP CARE,"$7,982.00","$7,982.00"
Px00096910636,REMOVE UTERUS LESION,"$3,795.00","$3,795.00"
Px00096910638,CESAREAN DELIVERY ONLY,"$6,638.00","$6,638.00"
Px00097510601,TX ECTOPIC PREGNANCY TUBAL OR OVARIAN,"$7,149.00","$7,149.00"
Px00097510602,LAP ECTOPIC TREATMENT,"$5,698.00","$5,698.00"
Px00097510603,ECTOPIC REPAIR LAP/SAL,"$8,093.00","$8,093.00"
Px00097510605,D & C AFTER DELIVERY,"$1,590.00","$1,590.00"
Px00097510606,EVACUATE MOLE OF UTERUS,"$2,044.00","$2,044.00"
Px00097510608,HYSTEROTOMY,"$4,904.00","$4,904.00"
Px00098110601,EPISIOTOMY OR VAGINAL REPAIR,"$1,147.00","$1,147.00"
Px00098110602,VAGINAL DELIVERY,"$3,776.00","$3,776.00"
Px00098110603,DELIVER PLACENTA,"$1,126.00","$1,126.00"
Px00098310409,ATTEMPTED VBAC DELIVERY ONLY,"$4,702.00","$4,702.00"
Px00098310440,INSERT BLADDER CATHETER,$446.00,$446.00
Px00098310441,HC PR REMOVE UTERUS AFTER CESAREAN,"$2,377.00","$2,377.00"
Px00098310447,INSERT CERVICAL DILATOR,$534.00,$534.00
Px00030910201,HC CNS DNA/RNA AMP PROBE MULTIPLE SUBTYPES 12-25,$853.00,$853.00
Px00097513763,HC PR INJECT PLATELET RICH PLASMA W/IMG HARVEST/PREPARATOIN,"$1,654.00","$1,654.00"
Px00096310281,HC ANL SP INF PMP W/MDREPRG&FIL,"$1,493.00","$1,493.00"
Px00032010029,HC X-RAY EXAM ABDOMEN 1 VIEW,$607.00,$607.00
Px00032010107,HC X-RAY EXAM ABDOMEN 2 VIEWS,$669.00,$669.00
Px00032010135,HC X-RAY EXAM ABDOMEN 3+ VIEWS,$731.00,$731.00
Px00032410014,HC X-RAY EXAM CHEST 1 VIEW,$683.00,$683.00
Px00032410015,HC X-RAY EXAM CHEST 2 VIEWS,$755.00,$755.00
Px00032410016,HC X-RAY EXAM CHEST 3 VIEWS,$830.00,$830.00
Px00032410017,HC X-RAY EXAM CHEST 4+ VIEWS,$874.00,$874.00
Px00042010003,HC ORTHOTIC/PROSTH MGMT & TRAINING SBSQ ENCTR PER 15MIN,$176.00,$176.00
Px00046010048,HC PULMONARY STRESS TESTING - SIX MINUTE WALK,$201.00,$201.00
Px00096310282,HC PR ANES UPPR GI NDSC PX NOS,"$20.00 | $1,510.70","$20.00 | $1,510.70"
Px00096310283,HC PR ANES UPR GI NDSC PX ERCP,"$20.00 | $1,812.85","$20.00 | $1,812.85"
Px00096310284,HC PR ANES LWR INTST NDSC NOS,"$20.00 | $1,208.56","$20.00 | $1,208.56"
Px00096310285,HC PR ANES LWR INTST SCR COLSC,$20.00 | $906.42,$20.00 | $906.42
Px00096310286,HC PR ANES UPPR LWR GI NDSC PX,"$20.00 | $1,510.70","$20.00 | $1,510.70"
Px00042010002,HC THERAPEUTIC INTERV W/FOCUS COGNITIVE FUNC,$525.00,$525.00
Px00032410018,HC XR CHEST PORTABLE 1 VIEW,$683.00,$683.00
Px00032010190,HC XR ABDOMEN PORTABLE 1 VIEW,$607.00,$607.00
Px00042010004,"HC COGNITIVE SKILLS DEVELOPMENT, EACH 15 MIN",$131.00,$131.00
Px00045010326,HC TRACHEOSTOMY PLANNED SEPARATE PROCEDURE,"$2,946.00","$2,946.00"
Px00031900000,HC T CELLS ABSOLUTE CD4&CD8 COUNT RATIO (RL),$54.00,$54.00
Px00031900001,HC  ANTIBODY INFLUENZA VIRUS (RL),$159.00,$159.00
Px00031900003,"HC T CELLS TOTAL, COUNT (RL)",$51.00,$51.00
Px00031900004,HC VOLUME MEASUREMENT TIMED COLLECTION (RL),$56.00,$56.00
Px00031900005,HC URINALYSIS VOLUME MEASURE (RL),$56.00,$56.00
Px00031900006,HC  URINE VOLUME MEASUREMENT (RL),$56.00,$56.00
Px00031900007,HC VOL MEASUREMENT TIMED COLLECTION (RL),$56.00,$56.00
Px00031900008,HC URINE VOLUME MEASUREMENT TIMED EACH (RL),$56.00,$56.00
Px00031900011,HC ASSAY OF GAMMAGLOBULIN IGE (RL),$30.00,$30.00
Px00031900012,HC  ASSAY OF SEX HORMONE BINDING GLOBULIN (RL),$216.00,$216.00
Px00031900013,HC CREATININE OTHER SOURCE (RL),$106.00,$106.00
Px00031900014,HC ASSAY OF URINE CREATININE (RL),$106.00,$106.00
Px00031900015,HC ASSAY CREATININE OTHER SOURCE (RL),$106.00,$106.00
Px00045010094,HC Critical care first hour,"$6,243.00","$6,243.00"
Px00045010204,HC Emergency dept visit Level I,$463.00,$463.00
Px00045010207,HC Emergency dept visit Level II,$645.00,$645.00
Px00045010210,HC EMERGENCY DEPT VISIT LEVEL III,"$1,210.00","$1,210.00"
Px00045010213,HC EMERGENCY DEPT VISIT LEVEL IV,"$2,262.00","$2,262.00"
Px00045010216,HC EMERGENCY DEPT VISIT LEVEL V,"$3,800.00","$3,800.00"
Px00045010221,HC Critical care addl 30 min,"$1,610.00","$1,610.00"
Px00068210001,HC Trauma Respons w/hsp critical care-partial team,"$4,808.00","$4,808.00"
Px00068310001,HC TRAUMA RESPONS W/HOSP CRITICAL CARE,"$8,382.00","$8,382.00"
Px00098110009,EMERGENCY DEPT VISIT LEVEL III,$483.00,$483.00
Px00098110012,EMERGENCY DEPT VISIT LEVEL IV,$861.00,$861.00
Px00098110016,EMERGENCY DEPT VISIT LEVEL 5,"$1,140.00","$1,140.00"
Px00098110021,CRITICAL CARE FIRST HOUR,"$1,469.00","$1,469.00"
Px00098110023,CRITICAL CARE ADDL 30 MIN,$764.00,$764.00
Px00098110489,EMERGENCY DEPT VISIT LEVEL II,$324.00,$324.00
Px00098110604,EMERGENCY DEPT VISIT LEVEL I,$129.00,$129.00
Px00036110167,HC LYSE CHEST FIBRIN INIT DAY,"$1,550.00","$1,550.00"
Px00036110397,HC INTRO CATH EXTRM ART,$570.00,$570.00
Px00036110418,HC INSERT NON-TUNNEL CV CATH > 5,"$1,380.00","$1,380.00"
Px00036110425,HC INSERT TUNNELED CV CATH > 5,"$1,380.00","$1,380.00"
Px00036110432,HC INSERTION PICC W/O IMG GDN 5 YR/>,"$1,949.00","$1,949.00"
Px00036110445,HC REMOVAL TUNNELED CV CATH,"$1,272.00","$1,272.00"
Px00036110454,HC REPOSITION VENOUS CATHETER,"$4,257.00","$4,257.00"
Px00036110455,HC INJ W/FLUOR EVAL CV DEVICE,$418.00,$418.00
Px00036110457,HC INSERTION CATHETER ARTERY,$575.00,$575.00
Px00036110463,HC IV CATH UMBILICAL,"$1,144.00","$1,144.00"
Px00036110614,HC Drain/inject joint/bursa Intermed,$501.00,$501.00
Px00036110619,HC INSERT EMERGENCY AIRWAY,$601.00,$601.00
Px00036110622,HC INSERTION OF CHEST TUBE,$685.00,$685.00
Px00036110662,HC PUNCTURE PERITONEAL CAVITY,"$1,332.00","$1,332.00"
Px00036110683,HC DRAIN BL W/CATH INSERTION,"$1,896.00","$1,896.00"
Px00036110687,HC CYSTOSTOMY TUBE CHANGE,"$1,185.00","$1,185.00"
Px00036110702,HC DRAIN CEREBRO SPINAL FLUID,"$1,963.00","$1,963.00"
Px00036110714,HC ANALYZE SPINE INFUSION PUMP W/O REPROGAM,$517.00,$517.00
Px00036110718,HC N BLOCK OTHER PERIPHERAL,$543.00,$543.00
Px00040210098,HC Us urine capacity measure,$483.00,$483.00
Px00097510607,ESTABLISH ACCESS TO ARTERY,"$1,310.00","$1,310.00"
Px00097510986,INSERT TUNNELED CV CATH W/PORT > 5,"$3,758.00","$3,758.00"
Px00097510987,INSERT PICVAD CATH > 5,"$3,758.00","$3,758.00"
Px00097510989,REMOVAL TUNNELED CV CATH W/PORT OR PUMP,"$1,681.00","$1,681.00"
Px00097510995,LIGATION OF EXTREMITY ARTERY,"$1,676.00","$1,676.00"
Px00097511226,LIGATE/DIVIDE/EXCISE VEIN,"$1,748.00","$1,748.00"
Px00097511227,REMOVAL TUNNELED CV CATH,"$1,336.00","$1,336.00"
Px00098110494,HC PR 36556 INSERT NON-TUNNEL CV CATH > 5,"$2,870.00","$2,870.00"
Px00098110495,INSERT TUNNELED CV CATH > 5,"$5,732.00","$5,732.00"
Px00098110496,HC PR INSERTION PICC W/O IMG GDN 5 YR/>,"$2,393.00","$2,393.00"
