Kaweah Delta Health Care District,,
CDM Listing as of June 2018,,
,,
,,
ITEM NUMBER,DESCRIPTION, UNIT PRICE 
2502362,Vancomycin 500Mg/100Ml, $95.95 
2502371,Fentanyl 500Mg/10Ml, $78.91 
2502372,Xylocaine 1.5% Mpf, $2.00 
2502374,Dobutamine 250Mg/250Ml, $91.95 
2502377,Lovenox 30Mg/0.3Ml, $188.59 
2502380,Cefotan 1Gm Premix, $81.75 
2502381,Cefotan 2Gm Premix, $116.95 
2502382,Cefotetan Up To 1Gm Inj, $107.35 
2502383,Cefotan 2Gm Vial, $214.70 
2502391,Ceftriaxone Up To 250Mg I, $9.70 
2502393,Activase 100Mg Vial, $340.21 
2502413,Ammonia Inhalant (Stat), $-   
2502432,Zemuron 10Mg/1Ml, $34.30 
2502434,Retrovir 10Mg/10Ml 20Ml, $70.85 
2502436,D5 1/2 Ns Kcl 10 Meq, $53.15 
2502437,D5 1/2 Ns Kcl 20 Meq, $32.40 
2502438,D5 1/2 Ns Kcl 30 Meq, $52.00 
2502439,D5 1/2 Ns Kcl 40 Meq, $53.45 
2502440,D5 1/4 Ns Kcl 20 Meq, $51.05 
2502441,D5 1/4 Ns Kcl 30 Meq, $136.00 
2502443,D5W Kcl 20 Meq, $136.00 
2502449,Demadex Iv 20Mg/2Ml, $39.75 
2502452,Panhematin 313Mg, $96.38 
2502454,Heparin Lock Flush, $0.32 
2502455,Sufenta 50Mcg/1Ml, $30.40 
2502456,Clarithromycin Susp (Stat), $-   
2502457,Apap Elixir 650Mg/20.3Ml (Stat), $-   
2502459,Viscous Lidocaine 2%, $-   
2502460,Mineral Oil 30Ml (Stat), $-   
2502461,Maalox Plus Susp 30Ml (Stat), $-   
2502463,Sulfamethoxazole/Tmp 20Ml (Stat), $-   
2502470,Nalbuphine 10Mg/Ml Inj, $14.20 
2502486,Zerit 30Mg Cap (Stat), $-   
2502490,Heparin 10000U/Ml 4Ml, $30.92 
2502491,Fentanyl 20Ml Inj, $2.54 
2502492,Sufentanil 5Ml Inj, $89.30 
2502493,Mannitol 10Prc 500Ml Iv, $196.00 
