,,,,,,,,,,,
Service or Items Charge Description,Short Description, Estimated Charge ,,Disclaimer:  These charge amounts are an estimate. The charge amounts you receive for the services provided may vary.,,,,,,,
ANES/ABDOMINOPLASTY,ANES/ABDOMINO, 77.00 ,,,,,,,,,
ANES/ARTHROSCOPIC PROC ELBOW,ANES/ARTHROSC, 77.00 ,,,,,,,,,
"ANES/BIOPSY, SOFT TISSUE","ANES/BIOPSY,", 77.00 ,,,,,,,,,
ANES/BRST AUGMENTATION,ANES/BRST AUG, 77.00 ,,,,,,,,,
ANES/CHEST TUBE REPLACEMENT,ANES/CHEST TU, 77.00 ,,,,,,,,,
ANES/EXCISION OF CYST OR TUMOR,ANES/EXCISION, 77.00 ,,,,,,,,,
ANES/ORIF PROXIMAN HUMERUS,ANES/ORIF PRO, 77.00 ,,,,,,,,,
"ANES/PROC VEINS FOREARM, WRIST",ANES/PROC VEI, 77.00 ,,,,,,,,,
"ANES/PROCEDURE NERVE,TENDONS",ANES/PROCEDUR, 77.00 ,,,,,,,,,
ANES/PROCEDURES ON ESOPHAGUS,ANES/PROCEDUR, 77.00 ,,,,,,,,,
ANES/RADICAL BREAST W/NODE DIS,ANES/RADICAL, 77.00 ,,,,,,,,,
ANES/SHOULDER ARTHROSCOPY,ANES/SHOULDER, 77.00 ,,,,,,,,,
ANES/UNDESCEDED TESTIS,ANES/UNDESCED, 77.00 ,,,,,,,,,
ANES/URETERAL CALCULUS,ANES/URETERAL, 77.00 ,,,,,,,,,
ANGIOTENSIN CONVERTING ENZYME,ANGIOTENSIN C, 120.18 ,,,,,,,,,
ANKLE  LEFT AP/LAT/OBLI,ANKLE  LEFT A, 171.00 ,,,,,,,,,
ANKLE  RIGHT AP/LAT,ANKLE RIGHT, 171.00 ,,,,,,,,,
ANKLE / 4 VIEWS,ANKLE / 4 VIE, 181.00 ,,,,,,,,,
ANKLE LEFT AP/LAT,ANKLE LEFT, 171.00 ,,,,,,,,,
ANKLE RIGHT AP/LAT/OBLI,ANKLE RIGHT, 171.00 ,,,,,,,,,
ANT THROM ACT,ANT THROM ACT, 174.00 ,,,,,,,,,
ANTI CENT AB,ANTI CENT AB, 147.60 ,,,,,,,,,
ANTI CENTROMERE AB,ANTI CENTROM, 147.60 ,,,,,,,,,
ANTI DNA ABQN,ANTI DNA ABQN, 113.10 ,,,,,,,,,
ANTI DS DNA AB,ANTI DS DNA A, 113.10 ,,,,,,,,,
ANTI MPO AB,ANTI MPO AB, 87.90 ,,,,,,,,,
ANTI MULLERIAN HORMONE,AMH, 116.22 ,,,,,,,,,
ANTIBIOTIC INFUSION,IV INFUSION, 213.00 ,,,,,,,,,
ANTIBIOTIC INFUSION ADDL HR,ADDL HR, 66.00 ,,,,,,,,,
"ANTICARDIOLIPIN AB,IGA",ANTICARDIOLIP, 209.46 ,,,,,,,,,
"ANTICARDIOLIPIN AB,IGA,IGG,IGM",ANTICARDIOLIP, 209.46 ,,,,,,,,,
"ANTICARDIOLIPIN AB,IGG",ANTICARDIOLIP, 209.46 ,,,,,,,,,
"ANTICARDIOLIPIN AB,IGM",ANTICARDIOLIP, 209.46 ,,,,,,,,,
ANTI-DIURETIC HORMONE,ANTI-DIURETIC, 279.36 ,,,,,,,,,
ANTI-DNA AB/DOUBLE STRANDED,ANTI-DNA AB/D, 113.10 ,,,,,,,,,
ANTI-GBM,ANTI-GBM, 87.90 ,,,,,,,,,
ANTI-HISTONE,ANTI-HISTONE, 147.60 ,,,,,,,,,
ANTIHISTONE AB,ANTIHISTONE A, 147.60 ,,,,,,,,,
ANTIJOL AB,ANTIJOL AB, 147.60 ,,,,,,,,,
ANTI-MITICHONDRIAL AB,ANTI-MITICHON, 87.90 ,,,,,,,,,
ANTIMYELOPEROXIDASE AB,ANTI MPO AB, 106.56 ,,,,,,,,,
ANTINEUTROPHIL CYTOPLASMIC AB,ANCA, 99.18 ,,,,,,,,,
Antineutrophil Cytoplasmic Ab,Antineutrophi, 99.18 ,,,,,,,,,
ANTIPROTEINASE AB,ANTIPROT AB, 106.56 ,,,,,,,,,
ANTIPYRINE/BENZ 5.4/1.5% OTIC DROPS,AURALGAN OTIC, 11.52 ,,,,,,,,,
ANTISCLERODERMA AB,ANTISCLER AB, 147.60 ,,,,,,,,,
ANTISCLERODERMA-70 AB,ANTISCL-70 AB, 147.60 ,,,,,,,,,
ANTI-SM,ANTI-SM, 147.60 ,,,,,,,,,
ANTI-SS DNA,ANTI-SS DNA, 99.66 ,,,,,,,,,
ANTITHROMBIN ACTIVITY,AT3 ACTIVITY, 97.56 ,,,,,,,,,
APCR,APCR, 126.12 ,,,,,,,,,
APCR RESULT,APCR RESULT, 49.00 ,,,,,,,,,
APICAL LORDOTIC,APICAL LORDOT, 120.00 ,,,,,,,,,
APIXABAN (ELIQUIS) 5MG TABLET,ELIQUIS ORAL, 27.73 ,,,,,,,,,
APLIGRAF 44 SQ CM,APLIGRAF 44 S," 7,876.00 ",,,,,,,,,
APLIGRAFT  EACH ADDL 25 SQ,APLIGRAFT EA, 51.00 ,,,,,,,,,
APLIGRAFT 1ST 100 SQCM,APLIGRAFT  1S," 1,034.94 ",,,,,,,,,
APLIGRAFT 1ST 25 SQ CM OR LESS,APLIGRAFT 1ST, 258.00 ,,,,,,,,,
APLIGRAFT 1ST 25 SQ CM OR LESS,APLIGRAFT 1ST," 4,475.00 ",,,,,,,,,
APLIGRAFT EA ADD UP TO 100 SQCM,APLIGRAFT EA, 679.59 ,,,,,,,,,
APOLIPOPROTEIN B,APOLIPOPRO B, 126.54 ,,,,,,,,,
APPLICATION OF FINGER SPLINT 29131,APPLICATION O, 156.00 ,,,,,,,,,
APPLICATION SHORT ARM CAST 29075,APPLICATION S, 63.00 ,,,,,,,,,
APPLICATION/FINGER SPLINT-STAT 29130,APPLICATION/F, 156.00 ,,,,,,,,,
APPLICATION/LONG ARM SPLINT 29105,APPLICATION/L, 357.00 ,,,,,,,,,
APPLICATION/SHORT ARM SPLINT-S 29125,APPLICATION/S, 285.00 ,,,,,,,,,
APPLIER CLIP LIGACLIP 10MM,APPLIER CLIP, 635.00 ,,,,,,,,,
APPLIER CLIP MULTI ENDO 5MM,APPLIER CLIP, 509.00 ,,,,,,,,,
APPLY FOREARM SPLINT 29126,APPLY FOREARM, 285.00 ,,,,,,,,,
APRACLONIDINE (IOPIDINE) 1% OPHTH DROPS,APRACLONIDINE, 82.58 ,,,,,,,,,
APTT 4:1 N,APTT 4:1 N, 28.00 ,,,,,,,,,
ARC-XMATCH #4,ARC-XMATCH #4, 116.00 ,,,,,,,,,
ARC-XMATCH #5,ARC-XMATCH #5, 116.00 ,,,,,,,,,
ARING BENIGN LESION 5 PLUS,PARING B 5 PL, 165.00 ,,,,,,,,,
ARIPiprazole (ABILIFY) 5MG TAB,ABILIFY 5MG, 20.00 ,,,,,,,,,
ARSENIC,ARSENIC, 156.12 ,,,,,,,,,
ARSENIC,ARSENIC, 156.12 ,,,,,,,,,
ART.LINE INSERTION 36620,ART.LINE INSE, 468.00 ,,,,,,,,,
ARTERIAL BLOOD GAS,ARTERIAL BLOO, 159.24 ,,,,,,,,,
ARTERIAL PUNCTURE,ARTERIAL PUNC, 309.00 ,,,,,,,,,
ARTERIOGRAM IN O.R.,ARTERIOGRAM I, 285.00 ,,,,,,,,,
ARTHOCENTESIS/INJECT-SMALL JOI 20600,ARTHOCENTESIS, 660.00 ,,,,,,,,,
ARTHROCENTESES/INJECT-MEDIU JO 20605,ARTHROCENTESE, 660.00 ,,,,,,,,,
ARTHROCENTESIS/INJECT-MAJOR JO 20610,ARTHROCENTESI, 66.00 ,,,,,,,,,
ARTHROGRAM HIP,ARTHROGRAM HI," 1,287.00 ",,,,,,,,,
ARTHROGRAM KNEE LEFT,ARTHROGRAM KN," 1,287.00 ",,,,,,,,,
ARTHROGRAM KNEE RIGHT,ARTHROGRAM KN, 842.37 ,,,,,,,,,
ARTHROGRAM SHOULDER LEFT,ARTHROGRAM SH, 842.37 ,,,,,,,,,
ARTHROGRAM SHOULDER RIGHT,ARTHROGRAM SH, 842.37 ,,,,,,,,,
ARTHROPLASTY/POST HIP - W/ANES 27266,ARTHROPLASTY/," 3,483.00 ",,,,,,,,,
ARTHROPLASTY-POST HIP W/O ANES 27265,ARTHROPLASTY-, 573.00 ,,,,,,,,,
ARTICULAR INSERT SZ 1-2 15MM LEFT,ARTICULAR INS," 8,176.00 ",,,,,,,,,
ARTICULAR INSERT SZ 3-4 09MM RIGHT,ARTICULAR INS," 6,188.00 ",,,,,,,,,
ARTICULAR INSERT SZ 3-4 10MM RIGHT,ARTICULAR INS," 6,190.00 ",,,,,,,,,
ARTICULAR INSERT SZ 3-4 13MM RIGHT,ARTICULAR INS," 6,190.00 ",,,,,,,,,
ARTICULAR INSERT SZ 3-4 13MM RIGHT,ARTICULAR INS," 6,190.00 ",,,,,,,,,
ASCORBIC ACID (VITAMIN C) 500MG TAB,ASCORBIC ACID, 5.00 ,,,,,,,,,
ASO,ASO, 57.60 ,,,,,,,,,
ASPERGILLLUS FLAVUS,ASP FL, 123.90 ,,,,,,,,,
ASPERGILLUS FUMIGATUS,ASP FUM, 123.90 ,,,,,,,,,
"ASPERGILLUS GALACTOMANNAN AG, SERUM",ASPERGILLUS G, 98.64 ,,,,,,,,,
ASPERGILLUS NIGER,ASP NIGER, 123.90 ,,,,,,,,,
ASPIRIN 300MG SUPPOSITORY,ASPIRIN, 5.00 ,,,,,,,,,
ASPIRIN 81MG CHEWABLE TAB,ASA 81MG CHEW, 5.00 ,,,,,,,,,
ASPIRIN EC (ECOTRIN) 325MG TAB,ECOTRIN 325MG, 5.00 ,,,,,,,,,
ASPIRIN EC 81MG TAB,ASA EC 81MG, 5.00 ,,,,,,,,,
ASPIRIN/DIPYRIDAMOLE 25/200MG CAP,AGGRENOX CAP, 16.34 ,,,,,,,,,
ATA,ATA, 174.00 ,,,,,,,,,
ATENOLOL (TENORMIN) 50MG TAB,TENORMIN 50MG, 5.46 ,,,,,,,,,
ATORVASTATIN (LIPITOR) 40MG TAB,ATORVASTATIN, 5.00 ,,,,,,,,,
ATRACURIUM (TRACRIUM) 10MG/ML 10ML VIAL,ATRACURIUM, 118.31 ,,,,,,,,,
ATROPINE 1% OPHTH/ORAL SOLUTION 15ML BOT,ATROPINE, 18.85 ,,,,,,,,,
ATROPINE SULFATE 0.4MG/1ML INJ,ATROPINE, 20.00 ,,,,,,,,,
ATROPINE SULFATE 0.4MG/ML  20ML INJ,ATROPINE SULF, 20.00 ,,,,,,,,,
ATROPINE SULFATE 1MG/10ML PFS,ATROPINE SULF, 10.70 ,,,,,,,,,
AUREOBASIDIUM PULLULANS IGG,AUREOBASIDIUM, 100.86 ,,,,,,,,,
AVULSION - SIMPLE NAIL 11730,AVULSION - SI, 438.00 ,,,,,,,,,
AVULSION OF NAIL PLATE,AVILSION OF N, 165.00 ,,,,,,,,,
AWL TAPERED 3.8 DISP,AWL TPRD 3.8, 244.00 ,,,,,,,,,
AWL TAPERED 8MM CRVD,AWL TAPERED 8," 2,216.00 ",,,,,,,,,
AZITHROMYCIN (ZITHROMAX) 250MG TAB,ZITHROMAX 250, 12.65 ,,,,,,,,,
AZITHROMYCIN (ZITHROMAX) 500MG VIAL,ZITHROMAX 500, 91.28 ,,,,,,,,,
AZITHROMYCIN 100MG/5ML ORALSUSP 15ML BOT,AZITHROMYCIN, 47.16 ,,,,,,,,,
AZITHROMYCIN 200MG/5ML ORALSUSP 15ML BOT,AZITHROMYCIN, 47.46 ,,,,,,,,,
AZTREONAM (AZACTAM) 2GM VIAL,AZTREONAM (AZ, 222.76 ,,,,,,,,,
B PERTUSSIS IgG Ab,B PERTUSSIS I, 108.54 ,,,,,,,,,
B PERTUSSIS IGM AB,B PERTUSSIS I, 108.54 ,,,,,,,,,
BA ENEMA,BA ENEMA, 321.00 ,,,,,,,,,
BA ENEMA AIR CONTRAST,BA ENEMA AI, 321.00 ,,,,,,,,,
BA SWALLOW,BA SWALLOW, 321.00 ,,,,,,,,,
BACITRACIN 500UNIT/GM OPHTH OINT 3.5GM,BACITRACIN 50, 96.56 ,,,,,,,,,
BACITRACIN OINTMENT 30GM TUBE,BACITRACIN TU, 5.00 ,,,,,,,,,
BACITRACIN ZINC 0.9GM UD PK,BACITRACIN UD, 5.00 ,,,,,,,,,
BACLOFEN (LIORESAL) 10MG TAB,LIORESAL 10MG, 5.00 ,,,,,,,,,
BANDAGE ESMARK 4X12 LF,BANDAGE ESMA, 15.00 ,,,,,,,,,
BANDAGE ESMARK 6X9 LF,BANDAGE ESMA, 14.00 ,,,,,,,,,
BARBITUATES,BARBITUATES, 33.00 ,,,,,,,,,
BARIUM SWALLOW,BARIUM SWALLO, 504.00 ,,,,,,,,,
BARTHOLINS GLAND ABSCESS 56420,BARTHOLINS GL, 435.00 ,,,,,,,,,
BARTONELLA AB PROFILE,BART AB PROFI, 83.76 ,,,,,,,,,
Bartonella Antibody Panel,Bartonella An, 83.76 ,,,,,,,,,
BARTONELLA DNA PCR,BARTONELLA DN, 161.52 ,,,,,,,,,
BASKET STONE HELICAL 4.5FR,BASKET STONE, 455.00 ,,,,,,,,,
"BB ANTIBODY ID,EACH CELL","AB ID,CELL", 47.10 ,,,,,,,,,
"BB ANTIBODY ID,EACH PANEL","AB,EACH PANEL", 432.00 ,,,,,,,,,
BB ANTIGEN ID,ANTIGEN ID, 179.00 ,,,,,,,,,
BB ARC AG SCRN(AGS-2),AGSCREEN (PTS, 78.30 ,,,,,,,,,
BB ARC PRE-RX W/CHEM/DRUGS,BB ARC PRE-RX, 85.00 ,,,,,,,,,
BB ARC PRETREAT W/ENZYMES,BB ARC PRETRE, 31.50 ,,,,,,,,,
BB ARC- RH PHENOTYPE,BB ARC- RH CO, 63.78 ,,,,,,,,,
BB ARC-ABO,BB ARC-ABO, 178.00 ,,,,,,,,,
BB ARC-AGT 1,BB ARC-AGT 1, 297.09 ,,,,,,,,,
BB ARC-ANTIBODY SR,BB ARC-ANTIBO, 178.00 ,,,,,,,,,
BB ARC-ANTIGEN 1,BB ARC-ANTIGE, 69.00 ,,,,,,,,,
BB ARC-DAT,BB ARC-DAT, 294.00 ,,,,,,,,,
BB ARC-ELUTION,ELUTION, 294.00 ,,,,,,,,,
BB ARC-RBC AG,BB ARC-RBC AG, 178.00 ,,,,,,,,,
BB ARC-RH - D,BB RH - D, 178.00 ,,,,,,,,,
BB ARC-SEPARATION,BB ARC-SEPARA, 295.00 ,,,,,,,,,
BB FETAL CELL SCREEN,BB FETAL CELL, 31.00 ,,,,,,,,,
BB PLASMA PROCESSING/STORAGE/UNIT,BB PLASMA PRO, 247.00 ,,,,,,,,,
BB PLATELET POOLING,BB PLATELET P, 195.00 ,,,,,,,,,
BB RBC IRRADIATED,BB RBC IRRADI, 474.00 ,,,,,,,,,
BB RBC LEUK REDUCE IRRADIATED,BB RBC LEUK R, 783.66 ,,,,,,,,,
BB RED CROSS CONSULTATION,BB RED CROSS, 158.00 ,,,,,,,,,
"BB TYPE -A,B,O","BB TYPE -A,B,", 24.60 ,,,,,,,,,
BBI AB SCREEN,BB AB SCRN, 71.00 ,,,,,,,,,
BBI ABO,BB ABO, 178.00 ,,,,,,,,,
BBI BLD/COMP ADM,BLD/COMP ADM, 718.71 ,,,,,,,,,
BBI COMPATIBILITY TESTING,BB COMPATIBIL, 297.09 ,,,,,,,,,
BBI COOMBS - DIRECT,BB COOMBS - D, 294.00 ,,,,,,,,,
BBI FFP,BB FFP," 1,266.00 ",,,,,,,,,
BBI FFP,BB FFP WITHIN, 210.86 ,,,,,,,,,
"BBI FFP, THAWING",BB FRESH FROZ, 247.00 ,,,,,,,,,
BBI PLATELET PHERESIS,BB PLATELET P," 1,461.00 ",,,,,,,,,
BBI RBC LEUK. REDUCED*,BB RBC LEUK., 531.44 ,,,,,,,,,
BBI RH,BB RH, 178.00 ,,,,,,,,,
BBI TRANSFUSION INVESTIGATE,BB TRANSFUSIO, 297.09 ,,,,,,,,,
BC LABCORP 2,BC LABCORP 2, 11.00 ,,,,,,,,,
BC LABCORP 3,BC LABCORP 3, 11.00 ,,,,,,,,,
BC LABCORP 4,BC LABCORP 4, 11.00 ,,,,,,,,,
BC LABCORP 5,BC LABCORP 5, 11.00 ,,,,,,,,,
BC-LAB CORP,BC-LAB CORP, 18.00 ,,,,,,,,,
BCR-ABL1 LC,BCR-ABL1 LC," 1,192.08 ",,,,,,,,,
BCR-ABL1 QUANTITATIVE,BCR-ABL 1 QNT," 1,349.46 ",,,,,,,,,
BEARING 28X42MM DUAL MOB HIP SYS,BEARING HIP," 3,140.00 ",,,,,,,,,
BEARING TIBIAL 10x63/67 VANGUARD,BEARING TIBIA," 2,748.00 ",,,,,,,,,
BEARING TIBIAL 10X67MM,BEARING TIBIA," 5,891.00 ",,,,,,,,,
BEARING TIBIAL 10X67MM,BEARING TIBIA," 6,000.00 ",,,,,,,,,
BEARING TIBIAL 10X83MM,BEARING TIBIA," 6,000.00 ",,,,,,,,,
BEARING TIBIAL 14X67MM,BEARING TIBIA," 5,891.00 ",,,,,,,,,
BEARING TIBIAL CR 10MM X 71/75MM,BEARING TIBIA," 2,748.00 ",,,,,,,,,
BEARING TIBIAL CR 10MM X 71/75MM,BEARING TIBIA," 2,748.00 ",,,,,,,,,
BEARING TIBIAL CR 10MM X 71/75MM,BEARING TIBIA," 3,140.00 ",,,,,,,,,
BEARING TIBIAL CR 10MM X 79/83MM,BEARING TIBIA," 3,140.00 ",,,,,,,,,
BEARING TIBIAL CR 10MM X 79/83MM,BEARING TIBIA," 3,140.00 ",,,,,,,,,
BEARING TIBIAL CR 12MM X 67/63MM,BEARING TIBIA," 2,748.00 ",,,,,,,,,
BEARING TIBIAL CR 12X71MM,BEARING TIBIA," 3,200.00 ",,,,,,,,,
BEARING TIBIAL CR 12X79MM,BEARING TIBIA," 3,000.00 ",,,,,,,,,
BEARING TIBIAL CR 14MM X 79/83MM,BEARING TIBIA," 3,000.00 ",,,,,,,,,
BEARING TIBIAL CR MONO-LK,BEARING TIBIA," 3,200.00 ",,,,,,,,,
BEARING TIBIAL DCM VANGUARD,BEARING TIBIA," 5,891.00 ",,,,,,,,,
BEARING TIBIAL VANGUARD 10MMX75MM,BEARING TIBIA," 3,200.00 ",,,,,,,,,
BEARING TIBIAL VANGUARD 12MMX75MM,BEARING TIBIA," 3,000.00 ",,,,,,,,,
BED RENTAL,BED RENTAL, 400.00 ,,,,,,,,,
BELT LUMBAR SM W/SUSPENDERS,BELT LUMBAR, 138.00 ,,,,,,,,,
BELT LUMBAR SM W/SUSPENDERS,BELT LUMBAR S, 138.00 ,,,,,,,,,
BELT RIB FEMALE 6,BELT RIB FEM, 23.00 ,,,,,,,,,
BELT RIB MALE 6  UNIV,BELT RIB MAL, 31.00 ,,,,,,,,,
BENDING FILMS - FLEXION,BENDING FILMS, 254.00 ,,,,,,,,,
BENEFIBER 4GM UD PAK,BENEFIBER 4GM, 5.00 ,,,,,,,,,
BENZ/BUT/TETRA(CETACAINE) 56GM SPRAY,BENZ/BUT/TETR, 40.00 ,,,,,,,,,
BENZOCAINE 20% ORAL ANES SPRAY 60ML CAN,BENZOCAINE 20, 65.69 ,,,,,,,,,
BENZOCAINE 20% ORAL GEL 29GM JAR,BENZOCAINE 20, 38.54 ,,,,,,,,,
BENZOCAINE 7.5% ORAL GEL 10GM TUBE,BENZOCAINE 7., 22.16 ,,,,,,,,,
BENZOCAINE/MENTHOL (CEPACOL) LOZENGE,BENZOCAINE/ME, 5.00 ,,,,,,,,,
BENZOD,BENZOD, 33.00 ,,,,,,,,,
BENZOIN COMPOUND TINCTURE 120ML BOTTLE,BENZOIN COMPO, 42.19 ,,,,,,,,,
BENZOIN COMPOUND TINCTURE 60ML BOTTLE,BENZOIN COMPO, 42.19 ,,,,,,,,,
BENZONATATE (TESSALON) 100MG PEARLES,BENZONATATE, 5.00 ,,,,,,,,,
BENZTROPINE MESYL(COGENTIN) 1MG TAB,COGENTIN 1MG, 5.00 ,,,,,,,,,
BETA 2 GLYCO LC,BETA 2 GLYCO, 209.46 ,,,,,,,,,
BETA 2 MICOOGLO,BETA 2 MICOOG, 141.00 ,,,,,,,,,
BETA GLOB U,BETA GLOB U, 146.76 ,,,,,,,,,
BETA-2 MICROGLOBULIN,BETA-2 MICROG, 119.82 ,,,,,,,,,
BETA-HYDROXYBUTYRATE,BETA-HYDROXY, 67.26 ,,,,,,,,,
BETHANECHOL (URECHOLINE) 25MG TAB,BETHANECHOL, 10.65 ,,,,,,,,,
BILIRUBIN - DIRECT,BILIRUBIN - D, 41.28 ,,,,,,,,,
BILIRUBIN - TOTAL,BILIRUBIN - T, 41.28 ,,,,,,,,,
BIO MOORE II STEM 10MM,BIO MOORE II," 3,192.00 ",,,,,,,,,
BIO MOORE II STEM 12MM,STEM 12MM," 3,032.00 ",,,,,,,,,
BIO MOORE II STEM 14MM,STEM 14MM," 2,905.00 ",,,,,,,,,
BIO MOORE II STEM 16MM,STEM 16MM," 3,156.00 ",,,,,,,,,
BIOMET ACTBLR SHELL W/PLUG,ACETBLR SHELL," 3,633.00 ",,,,,,,,,
BIOMET ACTBULR TAPERED PLUG,ACETBLR PLUG, 380.00 ,,,,,,,,,
BIOMET AGC FEMORAL COMPONENT,BIOMET AGC FE," 10,053.00 ",,,,,,,,,
BIOMET BONEPLUG LARGE,BONEPLUG LG, 620.00 ,,,,,,,,,
BIOMET BONEPLUG MEDIUM,BONEPLUG MD," 1,120.00 ",,,,,,,,,
BIOMET BONEPLUG SMALL,BONEPLUG SM, 380.00 ,,,,,,,,,
BIOMET CENTRALIZER FEMORAL,FEMORAL CNTRL," 5,415.00 ",,,,,,,,,
BIOMET DISTAL CENTRALIZER,DISTAL CNTRLZ, 378.00 ,,,,,,,,,
BIOMET ENDO II MOD HEAD 36MM,BIOMET ENDO I," 4,160.00 ",,,,,,,,,
BIOMET ENDO II MOD HEAD 36X3MM,BIOMET ENDO I," 4,160.00 ",,,,,,,,,
BIOMET ENDO II MOD HEAD 41,MOD HEAD," 1,792.00 ",,,,,,,,,
BIOMET ENDO II MOD HEAD 42,BIOMET ENDO I," 2,128.00 ",,,,,,,,,
BIOMET ENDO II MOD HEAD 43,MOD HEAD 43," 1,720.00 ",,,,,,,,,
BIOMET ENDO II MOD HEAD 44,MOD HEAD 44," 1,720.00 ",,,,,,,,,
BIOMET ENDO II MOD HEAD 45,MOD HEAD 45," 1,792.00 ",,,,,,,,,
BIOMET ENDO II MOD HEAD 46,MOD HEAD 46," 1,720.00 ",,,,,,,,,
BIOMET ENDO II MOD HEAD 47,MOD HEAD 47," 1,720.00 ",,,,,,,,,
BIOMET ENDO II MOD HEAD 48,MOD HEAD 48," 2,128.00 ",,,,,,,,,
BIOMET ENDO II MOD HEAD 49,MOD HEAD 49," 1,792.00 ",,,,,,,,,
BIOMET ENDO II MOD HEAD 50,MOD HEAD 50," 2,247.00 ",,,,,,,,,
BIOMET ENDO II MOD HEAD 51,MOD HEAD 51," 1,824.00 ",,,,,,,,,
BIOMET ENDO II MOD HEAD 52,MOD HEAD 52," 2,128.00 ",,,,,,,,,
BIOMET ENDO II MOD HEAD 53,MOD HEAD 53," 2,128.00 ",,,,,,,,,
BIOMET ENDO II MOD HEAD 54,MOD HEAD 54," 2,128.00 ",,,,,,,,,
BIOMET ENDO II MOD HEAD 55,MOD HEAD 55," 2,128.00 ",,,,,,,,,
BIOMET ENDO II MOD HEAD 56,MOD HEAD 56," 2,128.00 ",,,,,,,,,
BIOMET ENDO II MOD HEAD 57,MOD HEAD 57," 2,128.00 ",,,,,,,,,
BIOMET ENDO II MOD HEAD 58,MOD HEAD 58," 2,128.00 ",,,,,,,,,
BIOMET ENDO II MOD HEAD 59,MOD HEAD 59," 2,128.00 ",,,,,,,,,
BIOMET ENDO II MOD HEAD 60,MOD HEAD 60," 2,128.00 ",,,,,,,,,
BIOMET ENDO II MOD HEAD 61,MOD HEAD 61," 2,128.00 ",,,,,,,,,
BIOMET ENDO II TAPER/ADPTR +3,BIOMET ENDO I, 420.00 ,,,,,,,,,
BIOMET ENDO II TAPER/ADPTR +6,BIOMET ENDO I, 420.00 ,,,,,,,,,
BIOMET ENDO II TAPER/ADPTR STANDARD,BIOMET NECK, 504.00 ,,,,,,,,,
BIOMET HIWALL LINER,HIWALL LINER," 2,384.00 ",,,,,,,,,
BIOMET MAXIM FINNED STEM,BIOMET MAXIM," 1,752.00 ",,,,,,,,,
BIOMET PRI FEMORAL COMPONT RT,FEMORAL RT," 11,958.00 ",,,,,,,,,
BIOMET SOLID CUP UNIVERSAL,SOLID CUP," 3,616.00 ",,,,,,,,,
BIOMET TIBIAL BASE,BIOMET  TIBIA," 8,222.00 ",,,,,,,,,
BIOMET TIBIAL INSERT,BIOMET TIBIAL," 1,599.00 ",,,,,,,,,
BIOPSY COLLECTION,BIOPSY COLLEC, 270.00 ,,,,,,,,,
BIOPSY SKIN LESION ADDL LEISON,BIOPSY SKIN L, 165.00 ,,,,,,,,,
"BIOPSY, BREAST W/IMAGING",BIOPSY BREAST," 1,749.00 ",,,,,,,,,
BISACODYL (DULCOLAX) 10MG SUPP,BISACODYL, 5.00 ,,,,,,,,,
BISACODYL (DULCOLAX) 5MG TAB,DULCOLAX 5MG, 5.00 ,,,,,,,,,
BISMUTH SUBSALICYLATE 262MG/15ML UDC,BISMUTH SUBSA, 5.00 ,,,,,,,,,
BIT COUNTERSINK 2.5/3.0MM W/QC,BIT COUNTERSI," 1,308.00 ",,,,,,,,,
BIT DRILL  AO CONNECTION LCK PLYAXL,BIT DRILL AO, 512.00 ,,,,,,,,,
BIT DRILL 1.0MM 61MM W/K WIRE ATTCHMNT,BIT DRILL 1.0, 384.00 ,,,,,,,,,
BIT DRILL 1.0MM 75MM W/K WIRE ATTCHMNT,BIT DRILL 1.0, 373.00 ,,,,,,,,,
BIT DRILL 1.1MM 55MM QC,BIT DRILL 1.1, 321.00 ,,,,,,,,,
BIT DRILL 1.1MM 60MM QC,BIT DRILL 1.1, 322.00 ,,,,,,,,,
BIT DRILL 1.1MM 60MM QC STRL,BIT DRILL 1.1, 523.00 ,,,,,,,,,
BIT DRILL 1.1MM 70MM W/K WIRE ATTCHMNT,BIT DRILL 1.1, 373.00 ,,,,,,,,,
BIT DRILL 1.1MM 75MM QC,BIT DRILL 1.1, 400.00 ,,,,,,,,,
BIT DRILL 1.5MM 110MM QC BLUE,BIT DRILL 1.5, 301.00 ,,,,,,,,,
BIT DRILL 1.5MM 74MM QC,BIT DRILL 1.5, 373.00 ,,,,,,,,,
BIT DRILL 1.5MM 85MM QC 310.15,BIT DRILL 1.5, 322.00 ,,,,,,,,,
BIT DRILL 1.5MM 88MM W/K WIRE ATTCHMNT,BIT DRILL 1.0, 373.00 ,,,,,,,,,
BIT DRILL 1.5MM 96MM 310.507,BIT DRILL 1.5, 645.00 ,,,,,,,,,
BIT DRILL 1.7MM 100MM,BIT DRILL 1.7, 700.00 ,,,,,,,,,
BIT DRILL 1.8X100MM QC W/DPTHMRK,BIT DRILL 1.8, 574.00 ,,,,,,,,,
BIT DRILL 1.8X110MM QC W/DPTHMRK,BIT DRILL 1.8, 645.00 ,,,,,,,,,
BIT DRILL 1/8 QUICK RELEASE,BIT DRILL 1/, 640.00 ,,,,,,,,,
BIT DRILL 2.0 CANN W/ AO CONNECTION,BIT DRILL 2.0," 1,416.00 ",,,,,,,,,
BIT DRILL 2.0 CANNULATED,DRILL BIT," 1,872.00 ",,,,,,,,,
BIT DRILL 2.0 SH MRKD LCKNG,BIT DRILL 2.0, 280.00 ,,,,,,,,,
BIT DRILL 2.0 SQ TIP AO CONNECTION,BIT DRILL 2.5, 536.00 ,,,,,,,,,
