,,,,,,,,,,,
Service or Items Charge Description,Short Description, Estimated Charge ,,Disclaimer:  These charge amounts are an estimate. The charge amounts you receive for the services provided may vary.,,,,,,,
ANES PROCEDURES AXICCA,ANES PROCEDUR, 77.00 ,,,,,,,,,
ANES PUNCTURE IN LUMBAR REGION,ANES PUNCTURE, 70.00 ,,,,,,,,,
ANES TIME 1ST 15 MIN,ANES TIME 1ST, 786.00 ,,,,,,,,,
ANES TIME 1ST HOUR,ANES TIME 1ST, 262.00 ,,,,,,,,,
ANES TIME EACH 15 MIN,ANES TIME EAC, 61.00 ,,,,,,,,,
ANES TRANSABDOMINAL OF DIAPH,ANES TRANSABD, 77.00 ,,,,,,,,,
ANES. / AMPUTATION,ANES. / AMPUT, 77.00 ,,,,,,,,,
ANES. / ANORECTAL,ANES. / ANORE, 77.00 ,,,,,,,,,
ANES. / ANTHROSCOPIC KNEE JOIN,ANES. / ANTHR, 77.00 ,,,,,,,,,
ANES. / ARTHROSCOPIC ANKLE JOI,ANES. / ARTHR, 77.00 ,,,,,,,,,
ANES. / ARTHROSCOPIC ELBOW JOI,ANES. / ARTHR, 77.00 ,,,,,,,,,
ANES. / ARTHROSCOPIC SHOULDER,ANES. / ARTHR, 77.00 ,,,,,,,,,
ANES. / ARTHROSCOPIC-HIP JOINT,ANES. / ARTHR, 77.00 ,,,,,,,,,
ANES. / CARPAL TUNNEL WRI/FORA,ANES. / CARPA, 77.00 ,,,,,,,,,
ANES. / CATARACT LENS,ANES. / CATAR, 77.00 ,,,,,,,,,
ANES. / CESAREAN SECTION,ANES. / CESAR, 77.00 ,,,,,,,,,
ANES. / CIRCUMCISION,ANES. / CIRCU, 77.00 ,,,,,,,,,
ANES. / CLOSED CHEST PROCEDURE,ANES. / CLOSE, 77.00 ,,,,,,,,,
ANES. / CLOSED PROC PUBIS SACR,ANES. / CLOSE, 77.00 ,,,,,,,,,
ANES. / CLOSED UPPER 2/3 FEMUR,ANES. / CLOSE, 77.00 ,,,,,,,,,
ANES. / COLONOSCOPY,ANES. / COLON, 77.00 ,,,,,,,,,
"ANES. / COLPOTOMY,COLPECTOMY",ANES. / COLPO, 77.00 ,,,,,,,,,
ANES. / CONT EPI LABOR/DELIVER,ANES. / CONT, 77.00 ,,,,,,,,,
ANES. / CONT. EPIDURAL LABOR,ANES. / CONT., 77.00 ,,,,,,,,,
ANES. / CYSTOLITHOTOMY,ANES. / CYSTO, 77.00 ,,,,,,,,,
ANES. / D & C VAGINAL,ANES. / D & C, 77.00 ,,,,,,,,,
ANES. / EMERGENCY INTUBATION,ANES. / EMERG, 77.00 ,,,,,,,,,
ANES. / EXCISION MASS - FOOT,ANES. / EXCIS, 77.00 ,,,,,,,,,
ANES. / EXTRAPERITONEAL PROC,ANES. / EXTRA, 77.00 ,,,,,,,,,
ANES. / EYE NOT CATARACT,ANES. / EYE N, 77.00 ,,,,,,,,,
ANES. / GASTROINTESTINAL ENDO.,ANES. / GASTR, 77.00 ,,,,,,,,,
ANES. / HERNIA UPPER ABDOMEN,ANES. / HERNI, 77.00 ,,,,,,,,,
ANES. / HERNIA-LOWER ABDOMEN,ANES. / HERNI, 77.00 ,,,,,,,,,
ANES. / HERNIA-VENTRAL-INCISIO,ANES. / HERNI, 77.00 ,,,,,,,,,
ANES. / HUMERUS & ELBOW,ANES. / HUMER, 77.00 ,,,,,,,,,
ANES. / HYSTEROSCOPY,ANES. / HYSTE, 77.00 ,,,,,,,,,
ANES. / INTEGUMENTARY CHEST,ANES. / INTEG, 77.00 ,,,,,,,,,
ANES. / INTEGUMENTARY-HEAD,ANES. / INTEG, 77.00 ,,,,,,,,,
ANES. / INTEGUMENTARY-TRUNK,ANES. / INTEG, 77.00 ,,,,,,,,,
ANES. / INTRAPERITONEAL LOW AB,ANES. / INTRA, 77.00 ,,,,,,,,,
ANES. / KNEE JOINT,ANES. / KNEE, 77.00 ,,,,,,,,,
ANES. / LOWER ABDOMEN,ANES. / LOWER, 77.00 ,,,,,,,,,
ANES. / LOWER INTEGUMENTARA,ANES. / LOWER, 77.00 ,,,,,,,,,
ANES. / MUSCLES NERVES LOW-LEG,ANES. / MUSCL, 77.00 ,,,,,,,,,
"ANES. / NERVES,MUSCLES,TENDONS",ANES. / NERVE, 77.00 ,,,,,,,,,
ANES. / OPEN FRACTURE PATELLA,ANES. / OPEN, 77.00 ,,,,,,,,,
"ANES. / OPEN LOW LEG,ANK(BONE)",ANES. / OPEN, 77.00 ,,,,,,,,,
ANES. / OPEN PROC LOW 1/3FEMUR,ANES. / OPEN, 77.00 ,,,,,,,,,
ANES. / OPEN RADIUS ULNA WRIST,ANES. / OPEN, 77.00 ,,,,,,,,,
ANES. / OPEN UPPER 2/3 FEMUR,ANES. / OPEN, 77.00 ,,,,,,,,,
ANES. / OPEN-HIP JOINT,ANES. / OPEN-, 77.00 ,,,,,,,,,
ANES. / POSTERIOR PELVIS,ANES. / POSTE, 77.00 ,,,,,,,,,
"ANES. / PROCEDURE EAR,EXTERNAL",ANES. / PROCE, 77.00 ,,,,,,,,,
ANES. / RADICAL HYSTERECTOMY,ANES. / RADIC, 77.00 ,,,,,,,,,
ANES. / RADICAL PROC.-BREAST,ANES. / RADIC, 77.00 ,,,,,,,,,
ANES. / RADIUS-ULNA HAND BONE,ANES. / RADIU, 77.00 ,,,,,,,,,
ANES. / REMOVAL KNEE HARDWARE,ANES. / REMOV, 77.00 ,,,,,,,,,
ANES. / RENAL PROCEDURES,ANES. / RENAL, 77.00 ,,,,,,,,,
ANES. / REPAIR OF ACHILLES TEN,ANES. / REPAI, 77.00 ,,,,,,,,,
ANES. / SEMINAL VESICLES,ANES. / SEMIN, 77.00 ,,,,,,,,,
ANES. / SKIN LOWER LEG-FOOT,ANES. / SKIN, 77.00 ,,,,,,,,,
ANES. / STERIOD INJECTION,ANES. / STERI, 77.00 ,,,,,,,,,
ANES. / T & A INTRAORAL,ANES. / T & A, 77.00 ,,,,,,,,,
ANES. / TOTAL HIP REPLACEMENT,ANES. / TOTAL, 77.00 ,,,,,,,,,
ANES. / TOTAL KNEE REPLACEMENT,ANES. / TOTAL, 77.00 ,,,,,,,,,
ANES. / TRANSURETHRAL RESECTIO,ANES. / TRANS, 77.00 ,,,,,,,,,
ANES. / UPPER ABD WALL,ANES. / UPPER, 77.00 ,,,,,,,,,
ANES. / UPPER ABDOMEN LAB CHOL,ANES. / UPPER, 77.00 ,,,,,,,,,
ANES. / VAGINAL DELIVERY,ANES. / VAGIN, 77.00 ,,,,,,,,,
ANES. / VAGINAL HYSTERECTOMY,ANES. / VAGIN, 77.00 ,,,,,,,,,
ANES. / VEINS OF UPPER LEG,ANES. / VEINS, 13.00 ,,,,,,,,,
ANES. / VENT INCISIONAL HERNIA,ANES. / VENT, 77.00 ,,,,,,,,,
ANES. PARTIAL HEPATECTOMY,ANES. PARTIAL, 77.00 ,,,,,,,,,
ANES. THORACOSTOMY,ANES. THORACO, 77.00 ,,,,,,,,,
ANES./ CT SCAN OF PELVIS,ANES./ CT SCA, 77.00 ,,,,,,,,,
ANES./ RADICAL ORCHIECTOMY,ANES./ RADICA, 77.00 ,,,,,,,,,
ANES./ REMOVAL OF MASS FHEAD,ANES./ REMOVA, 77.00 ,,,,,,,,,
ANES./ TRANSURETHRAL PROC,ANES./ TRANSU, 77.00 ,,,,,,,,,
ANES./CLOSED PROC LOWER LEG,ANES./CLOSED, 77.00 ,,,,,,,,,
ANES./INTUVATION,ANES./INTUVAT, 77.00 ,,,,,,,,,
ANES./NER.MUS.TEN.FASCIAL U LE,ANES./NER.MUS, 77.00 ,,,,,,,,,
ANES./OPEN PROC BONE LOWER LEG,ANES./OPEN PR, 77.00 ,,,,,,,,,
ANES.ALL PROCEDURES UPPER LEG,ANES.ALL PROC, 77.00 ,,,,,,,,,
ANES/ BILATERAL TUBAL LIGATION,ANES/ BILATER, 77.00 ,,,,,,,,,
