AMILoride 5 mg tablet 100 each Bottle,$13.07 
amino acid 10 % 10 % parenteral solution 500 mL Bag,$245.04 
aminocaproic acid 250 mg/mL (25 %) solution 236.5 mL Bottle,"$29,507.21 "
aminocaproic acid 500 mg tablet 30 each Bottle,$498.88 
aminocaproic acid per 5 g,$66.98 
aminophylline per 250 mg,$116.09 
amiodarone 200 mg tablet 100 each BLIST PACK,$3.09 
amiodarone 200 mg tablet 500 each Bottle,$16.49 
"amiodarone in dextrose,iso-osm 360 mg/200 mL (1.8 mg/mL) solution 200 mL Bag",$471.70 
amiodarone per 30 mg,$44.47 
amitriptyline 10 mg tablet 1 each BLIST PACK,$3.25 
amitriptyline 10 mg tablet 100 each Bottle,$3.25 
amitriptyline 25 mg tablet 1 each BLIST PACK,$2.60 
amitriptyline 50 mg tablet 1 each BLIST PACK,$2.16 
amitriptyline 50 mg tablet 100 each BLIST PACK,$2.16 
amLODIPine 10 mg tablet 100 each BLIST PACK,$0.28 
amLODIPine 2.5 mg tablet 1 each BLIST PACK,$17.65 
amLODIPine 2.5 mg tablet 100 each BLIST PACK,$1.42 
amLODIPine 5 mg tablet 1 each BLIST PACK,$2.02 
amLODIPine 5 mg tablet 100 each BLIST PACK,$31.76 
ammonia 15 % (w/v) solution 1 each AMPUL,$4.47 
ammonium lactate 12 % cream 140 g Tube,$285.88 
ammonium lactate 12 % lotion 227 g Bottle,$185.41 
"ammonium,sod,potassium lactate cream 85 g Tube",$82.45 
amoxicillin 250 mg capsule 100 each Bottle,$2.55 
amoxicillin 250 mg/5 mL suspension for reconstitution 150 mL Bottle,$71.98 
amoxicillin 250 mg/5 mL suspension for reconstitution 5 mL Syringe,$2.40 
amoxicillin 500 mg capsule 100 each Bottle,$2.25 
amoxicillin-pot clavulanate 400-57 mg/5 mL suspension for reconstitution 5 mL Syringe,$31.86 
amoxicillin-pot clavulanate 400-57 mg/5 mL suspension for reconstitution 75 mL Bottle,$477.83 
amoxicillin-pot clavulanate 500-125 mg tablet 20 each Bottle,$38.64 
amoxicillin-pot clavulanate 600-42.9 mg/5 mL suspension for reconstitution 125 mL Bottle,$33.90 
amoxicillin-pot clavulanate 875-125 mg tablet 20 each Bottle,$51.58 
amphotericin b lipid per 10 mg,"$2,006.27 "
amphotericin B liposome (1 mg/mL) 50 mL Bag,"$2,123.68 "
amphotericin b liposome per 10 mg,"$2,523.30 "
amphotericin per 50 mg,$387.98 
ampicillin (1 gram/50 mL) 50 mL Bag,$113.59 
ampicillin (2 gram/100 mL) 100 mL Bag,$196.54 
ampicillin (30 mg/mL) 50 mL,$83.77 
AMPICILLIN IN NS 1 GRAM/50 ML ADD-VANTAGE 50 mL Bag,$167.14 
AMPICILLIN IN NS 2 GRAM/100 ML ADD-VANTAGE 100 mL Bag,$354.78 
ampicillin per 500 mg,$354.78 
ampicillin sodium 10 gram recon soln 1 each Vial,$796.38 
ampicillin-sulbactam (1.5 gram/50 mL) 50 mL Bag,$81.17 
ampicillin-sulbactam (3 gram/100 mL) 100 mL Bag,$222.99 
ampicillin-sulbactam (30 mg/mL) 100 mL Bag,$146.47 
ampicillin-sulbactam 250 mL Bag,$91.89 
ampicillin-sulbactam per 1.5 g,$784.64 
AMS 800 IZ ACCESSORY KIT,"$7,131.15 "
