"Ketchikan, AK",,
PeaceHealth:  Ketchikan Medical Center,,
Hospital department charges for Services and Supplies,,
,,
,,
Charge Code,Short Description,Charge Each
132782,CT CERVICAL SPINE WO CONTRAST,"2,656"
132786,CT THORACIC SPINE W/O CONTRAST,"2,903"
132868,CT-THORACIC SPINE W/&W/OUT CONT,"1,415"
132790,CT LUMBAR SPINE W/O CONTRAST,"2,616"
132792,CT LUMBAR SPINE W/O&W CONTRAST,"1,369"
132874,CT PELVIS W/O CONTRAST,"2,631"
132794,CT PELVIS W/ CONTRAST,"3,687"
132876,CT PELVIS W/O&W CONTRAST,"4,310"
132798,CT UPPER EXTREMITY W/O CONTRAST,"2,612"
132800,CT UPPER EXTREMITY W/ CONTRAST,"3,567"
132806,CT LOWER EXTREMITY W/O CONTRAST,"2,279"
132808,CT LOWER EXTREMITY W/ CONTRAST,"3,293"
132810,CT LOWER EXTREMITY W/O&W CONTRAST,"1,369"
132812,CT ANGIO LOWER EXTREMITY W/O&W CONTRAST,"5,591"
132814,CT ABDOMEN W/O CONTRAST,"2,258"
132816,CT ABDOMEN W/ CONTRAST,"3,353"
132818,CT ABDOMEN W/O&W CONTRAST,"3,917"
132878,CT ANGIO ABDOMEN & PELVIS,"8,085"
132820,CT ANGIO ABDOMEN,"5,083"
132822,CT ABD PELVIS W/O CONTRAST,"2,728"
132824,CT ABD PELVIS W/ CONTRAST,"4,182"
132880,CT ABD PELVIS W/0&W CONTRAST,"4,857"
132882,CT VIRT COLONOSCOPY DIAGNOSTIC WO CON,"6,263"
132886,VIRTUAL COLONOSCOPY SCREEN,"2,178"
132826,CT ANGIO LUMBR AORTA & RUNOFF,"6,038"
219326,CT CERVICAL SPINE RECONS ONLY,513
219322,CT LUMBAR SPINE RECONS ONLY,583
219324,CT THORACIC SPINE RECONS ONLY,583
132840,CT GUIDANCE FOR NEEDLE PLACEMENT,"1,447"
224307,LDCT FOR LUNG CA SCREEN,187
228632,DX MAMMO INCL CAD UNI,301
228634,DX MAMMO INCL CAD BI,339
228636,SCR MAMMO BI INCL CAD,339
135644,MRI ORBIT FACE NECK W/OUT AND W/,"5,491"
135646,MRA HEAD W/OUT CONTRAST,"4,681"
135746,MRA BRAIN W/ CONTRAST,"4,668"
135648,MRA HEAD W/OUT AND W/,"7,078"
135650,MRA CAROTIDS AND/OR VENOUS W/,"4,982"
135750,MRA CAROTIDS AND/OR VENOUS W/ & W/O,"6,062"
135718,MRI BRAIN W/O CONTRAST,"4,251"
135722,MRI BRAIN W/ & W/O CONTRAST,"5,406"
135652,MRI CHEST W/O CONTRAST,"3,956"
135656,MRI CHEST W/ & W/O CONTRAST,791
135728,MRI CERVICAL SPINE W/O CONTRAST,"3,657"
135730,MRI CERVICAL SPINE W/CONTRAST,"4,755"
135732,MRI THORACIC SPINE W/O CONTRAST,"3,664"
135734,MRI THORACIC SPINE W/CONTRAST,"4,121"
135736,MRI LUMBAR SPINE W/O CONTRAST,"3,647"
135740,MRI CERVICAL W/ & W/O CONTRAST,"5,332"
135742,MRI THORACIC W/ & W/O CONTRAST,"4,889"
135744,MRI LUMBAR W/ & W/O CONTRAST,"5,274"
135658,MRI PELVIS W/O CONTRAST,"4,203"
135662,MRI PELVIS W/ & W/O CONTRAST,"5,597"
135664,MRI UPPER EXTREMITY NO JOINT W/O CONTRAST,"4,157"
135668,MRI UPPER EXTREMITY NO JOINT W/ & W/O CONTRAST,"4,696"
135670,MRI UPPER EXTREMITY JOINT W/O CONTRAST,"2,590"
135672,MRI UPPER EXTREMITY JOINT W/ CONTRAST,"4,262"
135674,MRI UPPER EXTREMITY JOINT W/ & W/O CONTRAST,"5,215"
135676,MRI LOWER EXTREMITY NO JOINT W/O CONTRAST,"4,131"
135680,MRI LOWER EXTREMITY NO JOINT W/ & W/O CONTRAST,"5,632"
135682,MRI LOWER EXTREMITY JOINT W/O CONTRAST,"2,590"
135684,MRI LOWER EXTREMITY JOINT W/ CONTRAST,"4,329"
135686,MRI LOWER EXTREMITY JOINT W/ & W/O CONTRAST,"5,215"
135688,MRI ABDOMEN W/O CONTRAST,"3,659"
135692,MRI ABDOMEN W/ & W/O CONTRAST,"5,621"
135620,MRA ABDOMEN W & W/O CONTRAST,"2,345"
135632,MRI BREAST W & W/O CONTRAST BILATERAL,"6,277"
132656,NM THYROID UPTAKE SLG OR MULTI,"1,105"
132576,NM THYROID IMG W/VAS FLOW STIM/SUP/DIS,"2,016"
132662,NM PARATHYROID IMAGING,"2,107"
132684,NM HEPATOBILIARY W/O PHARMACEUTICAL,"3,173"
132592,NM HEPATOBILIARY W/ PHARMACEUTICAL,"4,413"
132594,NM GASTRIC EMPTYING,"2,420"
132694,NM GI BLEEDING SCAN,869
132602,NM BONE &/OR JOINT IMAGING LTD,"1,472"
132606,NM BONE WHOLE BODY,"2,051"
132608,NM BONE IMAGING 3 PHASE,"2,901"
132614,NM MYOCARD PERF SPECT/WALL/EF SINGLE,"3,203"
132616,NM MYOCARD PERF W SPECT/WALL/EF MULTI,"3,973"
132620,NM GATED HEART PLANAR SINGLE,"1,828"
132622,NM GATED SPECT CARDIAC BLOOD POOL,842
132624,NM LUNG PERFUSION,"1,652"
132724,NM BRAIN SPECT,"2,989"
132636,NM KIDNEY W VAS FLOW & FUNC W PHARM,"1,261"
133686,US NECK THYROID/PARTHYROID,883
133688,US CHEST,585
218687,US BREAST SCAN COMPLETE,721
218856,BREAST SCAN LIMITED,624
133692,US ABDOMEN,"1,011"
133694,US ABDOMEN LIMITED,814
228630,US ABDL AORTA SCREEN AAA,349
133696,US ABDOMEN RETROPERITONEAL,934
133704,US FETAL/MATERNAL 1ST  FETUS < 14 WEEKS,834
133706,US FETAL/MATERNAL ADD'L FETUS < 14 WEEKS,279
133708,US MATERNAL FETAL EVAL FIRST FETUS >= 14 WEEKS,"1,056"
133710,"US MATERNAL FETAL EVAL, ADD’L FETUS >= 14 WEEKS",526
133712,US OB W/FETAL ANATOMIC EXAMINATION,968
133720,US OB LIMITED,642
133722,US OB FOLLOW UP,839
133724,US TRANSVAGINAL OB,691
133726,US BIO PROFILE W/NON STRESS TESTING,824
133728,BIOPHYSICAL PROFILE W/O NST,518
133742,US TRANSVAGINAL NON OB,574
133746,US PELVIS,878
133748,US PELVIS LIMITED,704
133750,US SCROTAL,876
206848,US TRANSRECTAL,313
133752,US EXTREMITY NON-VAS COMPLETE,942
133754,US EXTREMITY NON-VAS LIMITED,338
133766,US GUIDE NEEDLE PLACEMENT,"1,703"
132014,XR JAW 4+ VIEWS,519
132020,XR FACIAL BONES -3 VIEWS,395
132022,XR FACIAL BONES 3+ VIEWS,515
132024,XR NASAL BONES 3+ VIEWS,463
132030,XR SINUSES -3 VIEWS,422
132032,XR SINUSES 3+ VIEWS,235
132036,XR SKULL -4 VIEWS,409
132038,XR SKULL 4+ VIEWS,501
132044,XR TM JOINTS-BILATERAL,564
132048,XR NECK,372
233295,XR CHEST 1 VIEW,251
233297,XR CHEST 2 VIEW,364
233299,XR CHEST 3 VIEW,545
132058,XR RIBS UNILATERAL 2 VIEWS,382
132060,XR RIBS W/ PA CHEST 3+ VIEWS,527
132062,XR RIBS BILATERAL 3 VIEWS,338
132064,XR RIBS BILAT W/ PA CHEST 4+ VIEWS,643
132066,XR STERNUM 2+ VIEWS,376
132072,XR SPINE 1 VIEW,276
132074,XR SPINE CERVICAL 2-3 VIEWS,540
132076,XR SPINE CERVICAL 4-5 VIEWS,668
132078,XR SPINE CERVICAL 6+ VIEWS,872
132082,XR SPINE THORACIC 2 VIEWS,409
132084,XR SPINE THORACIC 3 VIEWS,580
132088,THORACOLUMBAR SPINE 2+ VIEWS,440
219839,XR EXAM ENTIRE SPINE 1 VW,385
219841,XR EXAM ENTIRE SPINE 2/3 VW,831
132092,XR SPINE LUMBOSACRAL 2-3 VIEWS,387
132094,XR SPINE LUMBOSACRAL 4+ VIEWS,584
132096,XR SPINE LUMBOSACRAL W/BEND 6+ VIEWS,755
132100,XR PELVIS 1-2 VIEWS,351
132102,XR PELVIS 3+ VIEWS,511
132104,XR SACROILIAC JOINTS -3 VIEWS,338
132106,XR SACROILIAC JOINTS 3+ VIEWS,470
132108,XR SACRUM AND COCCYX 2+ VIEWS,416
132126,XR CLAVICLE,372
132128,XR SCAPULA,453
132130,XR SHOULDER 1 VIEW,283
132132,XR SHOULDER COMPLETE 2+ VIEWS,408
132376,XR SHOULDER CONTRAST,"1,468"
132134,XR AC JOINTS BILATERAL,563
132136,XR HUMERUS 2+ VIEWS,358
132138,XR ELBOW 2 VIEWS,358
132140,XR ELBOW COMPLETE 3+ VIEWS,397
132142,XR FOREARM 2 VIEWS,341
132144,XR UPPER EXTREMITY INFANT 2+ VIEWS,284
132146,XR WRIST 2 VIEWS,406
132148,XR WRIST 3+ VIEWS,486
132380,XR WRIST CONTRAST,"1,595"
132150,XR HAND 2 VIEWS,348
132152,XR HAND 3+ VIEWS,403
132154,XR FINGER 2+ VIEWS,443
219847,XR EXAM HIP W PELVIS UNILAT 1 VIEW,367
219849,XR EXAM HIP W PELVIS UNILAT 2-3 VIEWS,491
219857,XR EXAM HIPS W PELVIS BILAT 5 + VIEWS,727
132162,XR HIP CONTRAST,"1,457"
219859,XR EXAM OF FEMUR 1 VIEW,323
219861,XR EXAM OF FEMUR 2 + VIEWS,452
132170,XR KNEE 1-2 VIEWS,336
132172,XR KNEE 3 VIEWS,386
132174,XR KNEE 4+ VIEWS,711
132176,XR KNEES BOTH STANDING,455
132178,XR KNEE JOINT W/ CONTRAST,"1,213"
132180,XR TIBIA FIBULA 2 VIEWS,332
132184,XR ANKLE 2 VIEWS,358
132186,XR ANKLE 3+ VIEWS,419
132188,XR FOOT 2 VIEWS,338
132190,XR FOOT 3+ VIEWS,385
132192,XR HEEL 2+ VIEWS,352
132194,XR TOES 2+ VIEWS,397
233303,XR ABDOMEN 1 VIEW,302
233305,XR ABDOMEN 2 VIEW,371
233307,XR ABDOMEN 3 VIEW,524
132444,XR ABDOMEN SERIES,528
132206,XR ESOPHAGUS,"1,267"
132208,XR SWALLOWING FUNCTION W/CINE/VIDEO,946
132212,XR UPPER GI DELAY W/KUB,"1,604"
132214,XR UPPER GI & SMALL BOWEL,"2,065"
132218,"XR UPPER GI W/AIR,BARIUM & AGENT, W/KUB","1,998"
132220,XR UPPER GI W/SMALL INTESTINE FOLLOW THRU,"2,263"
132222,"XR SMALL INSTESTINE, MULTI SERIAL","1,298"
132228,"XR COLON,W/AIR & BARIUM,W/WO GLUCAGN","1,859"
132236,XR BILE DUCTS/PANCREAS,"1,021"
132266,XR URETHROCYSTROGRAPHY RETROGRADE,669
132268,XR URETHROCYSTOGRAPHY VOIDING,"1,222"
132278,XR HYSTEROSALPINGOGRAPHY,"1,070"
132330,FLUOROSCOPE EXAM <1 HOUR,710
132336,XR BREAST SPECIMEN,521
132342,FLUOROGUIDE FOR VEIN DEVICE,"1,746"
132344,XR GUIDANCE FOR NEEDLE PLACEMENT,992
132352,XR BONE AGE STUDIES,327
132354,XR BONE LENGTH STUDIES,486
132358,XR BONE SURVEY COMPLETE,"1,221"
132362,XR JOINT SURVEY 1 VIEW,496
132364,XR DEXA BONE DENSITY,613
132366,XR DEXA BONE DENSITY APPENDICULAR,329
129308,LAB BASIC METABOLIC-TOTAL CALCIUM,106
129312,LAB ELECTROLYTE PANEL,96
129314,LAB COMPREHENSIVE METABOLIC PANEL,140
129318,LAB LIPID PANEL,106
129320,LAB RENAL FUNCTION PANEL,102
129322,LAB ACUTE HEPATITIS PANEL,218
129324,LAB HEPATIC FUNCTION PANEL,75
129344,LAB CARBAMAZEPINE TOTAL,199
129348,LAB CYCLOSPORINE,221
129350,LAB CLOZAPINE,65
129354,LAB DIGOXIN,176
129356,LAB VALPROIC ACID,186
223551,VALPROIC ACID FREE,59
129364,LAB GENTAMICIN,240
129366,LAB GABAPENTIN,46
129374,LAB LAMOTRIGINE,223
129378,LAB LEVETIRACETAM,250
129380,LAB LITHIUM,90
129386,LAB OXCARBAZEPINE,227
129388,LAB PHENOBARBITAL,156
129390,"LAB PHENYTOIN, TOTAL",182
129394,LAB PRIMIDONE,34
129406,LAB TACROLIMUS,199
129414,LAB TOPIRAMATE,142
129416,LAB VANCOMYCIN,180
129418,LAB ZONISAMIDE,240
129420,"LAB QUANTITATION OF DRUG, NES",109
228638,DRUG TEST PRSMV DIR OPT OBS,116
228640,DRUG TEST PRSMV INSTRMNT,67
228642,DRUG TEST PRSMV CHEM ANLYZR,236
218631,LAB DRUG SCREEN QUANTALCOHOLS,55
218979,ALCOHOL BIOMARKERS,59
218983,ALKALOIDS NOS,272
218633,LAB DRUG SCREEN AMPHETAMINES 1/2,89
218987,LAB DRUG SCREEN AMPHETAMINES 5>,59
218963,LAB DRUG SCREEN ANALGESICS NON-OPIOID 1 OR 2,143
218993,LAB DRUG SCREEN ANALGESICS NON-OPIOID 3-5,59
