"Victor Valley Global Global Medical Center
OSHPD No. 106361370
Chargemaster 06-30-2018",,,,,,
CDM#,CDM Description,Facility,gl_account_id,Rev Code,Price,CPT/HCPCS
98040,VG-BLOOD CULTURE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,300,278,87040
98046,VG-STOOL CULTURE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,300,146,87046
98070,VG-CULTURE SOURCE MOD,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,300,237,87070
98070A,VG-CULTURE SOURCE MOD,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,300,237,87070
98070B,VG-THROAT CULTURE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,300,237,87070
98070C,VG-FLUID CULTURE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,300,237,87070
98070D,VG-GENITAL CULTURE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,300,237,87070
98071,VG-AEROBIC ID/WOUND,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,300,233,87081
98071A,VG-AEROBIC ID/CSF,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,300,233,87071
98071B,VG-AEROBIC ID/SPUTUM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,300,233,87071
98075,VG-ANAEROBIC CULTURE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,300,293,87075
98077,VG-ID METHOD,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,300,99,87077
98077A,VG-ID METHOD MOD,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,300,0,
98081,VG-MRSA SCREEN,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,300,159,87081
98086,VG-UA CULTURES,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,300,181,87088
98088,VG-UA ID,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,300,103,8708890
98118,BB-PLATELET CONCENTRATE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,390,63.25,P9019
98147,VG-PBP2A MRSA SCREEN,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,300,53,87147
98173,ANTIBODY SCREEN RBC SERUM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,302,43,86850
98186,VG-SUSCEPTIBILITY,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,300,181,87181
98186A,VG-SUSCEPTIBILITY MOD,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,300,181,87181
98186B,VG-AEROBIC MIC,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,300,181,87186
98186C,VG-RESPIRATORY MIC,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,300,181,87186
98186D,VG-BLOOD CX MICH,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,300,181,87186
98186E,VG-STOOL MIC,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,300,181,87186
98210,VG-WET MOUNT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,300,103,87210
98220,VG-KOH,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,300,115,87220
98220A,VG-INDA INK,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,300,115,87220
98305,BB-FMH QUANTITATION,VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,390,130,85460
98308,BB-ANTIBODY ID,VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,390,201.25,86870
98324,VG-CLOS DIFF AG & TOX,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,300,209,87324
98327,BB-CROSSMATCH,VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,390,86.25,86923
98403,VG-BACTERIAL ANTIGEN  X5,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,300,126,86403
98427,VG-SHIGA TOXIN 1,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,300,130,87427
98428,AG-SHIGA TOXIN 2,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,300,130,87427
98801,HP FAST,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,300,27,87339
98802,VG-STREP B,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,300,78,87802
98804,VG-INFLUENZA A/B,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,300,85,87804
98880,VG-STREP A,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,300,120,87880
98890,BB-AUTOLOGOUS STORAGE (BLOOD),VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,390,34.5,86890
98895,INDIRECT COOMB CORD BLOOD,VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,390,36.4,86885
98905,BB-AUTOLOGOUS/DIRECT HAND FEE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,390,75,86890
98911,BB-PLATELET APHERESIS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,390,612,P9034
98931,BB-PRBC UNIT 1,VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,390,247,P9021
98932,BB-PRBC UNIT 2,VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,390,247,P9021
98933,BB-PRBC UNIT 3,VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,390,247,P9021
98934,BB-PRBC UNIT 4,VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,390,247,P9021
98935,BB-PRBC UNIT 5,VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,390,247,P9021
98936,BB-PRBC UNIT 6,VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,390,247,P9021
98964,BB-FFP PROCESSING,VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,390,40.25,86927
98965,LS-ABO TYPING,VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,309,20,8690090
98967,LS-RH Typing,VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,309,18,86901
98970,LS-AC IDIFIED SERUM TEST PNH,VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,309,200,8697590
98971,LS-ANTIBODY ID PANEL (LISS),VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,309,75,8687090
98972,ls-Antibody ID panel (PEG),VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,309,75,8687090
98973,LS-ANTIBODY SCREEN,VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,309,75,8685090
98974,LA-ANTIBODY TITER,VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,309,150,8688690
98975,LS-PLATELET ANTIBODY TITER,VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,309,300,8602290
98976,LS-ANTI-CMV,VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,309,40,8664490
98977,LS-CHEMICAL or DRUG Treatment of Reagent,VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,309,100,8697090
98981,LS-CROSSMATCH: ANTOGLOBULIN TECHNIQUE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,309,118,8692290
98983,LS-DAT-ANTI:Complement,VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,309,12,8688090
98984,LS-DAT ANTI IgG,VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,309,12,8688090
98985,LS-DAT PLOYSPECIFIC,VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,309,12,8688090
98986,LS-Differential adsorption of serum per,VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,309,70,8697890
98987,LS-DILUTION,VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,309,30,8697690
98988,LS-ELUTION,VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,309,70,8686090
98989,LS-ENZYME TREATMENT OF PANEL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,309,100,8697190
98991,QD-CRYPTOSPORIDIUM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,390,56.2,87328
98992,LS-Incubation of serum w/drug or chem,VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,309,300,8697590
98993,LS-INHIBITION OF SERUM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,309,100,8697790
98994,LS-PATIENT SERUM SCREEN,VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,309,50,8690490
98995,LS-PHENOTYPE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,309,26,86905
98996,LS-ANTIGEN SCREENING W/ REAGENT SERUM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,309,120,86902
98997,"LS-RH Phenotype (C,c,E,e)",VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,309,70,8690690
98998,LS-RH (D) Typing,VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,309,18,8690190
99002,LS-TITRATION,VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,309,150,8688690
99382,IGG SERUM IP,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,7.89,82784
99656,FECAL ELASTASE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,40,82656
99787,IGG SUBBCLASS 4,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,46.09,82787
A&D31,A&D OINTMENT 5GM PACKETS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4710,250,20,
A0001,MESH FLAT 3X6,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,376,C1781
A0002,PLATE DISTAL CLAVICLE 3.5MM 9 HOLE RIGHT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,2821.5,
A0003,FEMORAL HEAD,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,2586.34,C1776
A0004,TIBIAL TRAY,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,12159.18,
A0005,GRAFT VASCULAR THIN WALL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,2123,
A0006,CORTICAL SCREW 3.5MMX18MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,194.7,C1713
A0007,FEMORAL METAL HEAD,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,5227.2,C1776
A0008,SCREW DESTRUCTION,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,825,C1713
A0009,CANNULATED 40MM X 22MM 6.5,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,980.1,
A0010,CANNULATED 60MM X 40 MM 6.5,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,980.1,
A0014,WASHER,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,158.1,
A0015,CORTICAL SCREW 3.5 X 14MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,316.8,C1713
A0016,LOCKING SCREW 4.5 X 44MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,141.9,C1713
A0017,LOCKING CREW 4.5 X 30MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,910.8,C1713
A0018,LOCKING SCREW 8.0 X 70MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,980.1,C1713
A0019,INSERT TIBIAL 4/11MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,2277,C1776
A0020,LOCKING SCREW 5.5 X 60MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,910.8,C1713
A0021,LOCKING SCREW 5.5 X 56MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,455.4,C1713
A0022,LOCKING SCREW 5.5 X 70MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,455.4,C1713
A0023,SCREW BIO COMPRESSION 3.0  AR5025B-22,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1650,
A0024,CANCELLOUS SCREW 3.5MMX10MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,666.6,C1713
A0025,CANCELLOUS SCREW 3.5MMX14MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,666.6,C1713
A0026,CANCELLOUS SCREW 3.5MMX18MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,666.6,C1713
A0027,PLATE 10 HOLE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,666.6,C1713
A0028,PLATE 5 HOLE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,2897,C1713
A0030,MODULCAR TIBIAL TRAY CEMENTED,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,11673,C1776
A0031,FEMORAL COMPONENT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,12527,C1776
A0032,SCREW LAG,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1732.5,C1713
A0033,FLO SEAL MATRIX SEAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,605.55,
A0036,GRAFT ANTEROR TIBIAL TENDEZ,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,5940,
A0042,OCTRODE TRIAL LEAD 60CM KIT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1485,C1778
A0045,LCK SCRW SELF TAP W/ STARDRV REC 3.5X14,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,85.67,C1713
A0047,PERCU DRILL BIT LCP QC 200MM/100MM CALIB,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,580.07,
A0049,CORTEX SCREW SELF TAPPING 3.5MMX14MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,74,C1713
A0050,TAP FOR 3.5MM CORTEX SCREWS GOLD 110MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,390.85,
A0054,INSERT LINEAGE ACCT CUP,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1650,C1776
A0055,SCREW LOCKING PERI-LOC,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,569,C1713
A0056,PLUG APICAL HOLE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,330,
A0059,CANCEL BONE SCREW THREADED 4.0MM X 20MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,61.25,
A0061,KIRSCHNER WIRE WITH TRO PT 1.6MM X 150MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,291.59,
A0062,ELIMINATOR APEX HOLE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,793,
A0063,VENTURE PLATE 40MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,6836.68,
A0064,CORTICAL SCREW 3.5MMX16MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,194.7,C1713
A0065,VENTURE PLATE 27.5,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,1477.94,
A0067,STEM FEMORAL/HUMERAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,20008,C1776
A0068,VANGUARD FEMORAL 70MM RIGHT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,15506.7,
A0072,VASCULAR GRAFT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,4277,C1768
A0076,CORTEX SCREW SELF TAPPING 1.3MMX14MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,263.67,C1713
A0077,END CAP IMPINING,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,597.3,
A0078,SCREW LAG,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1135,C1713
A0079,TIBIAL NAIL 9.0 X 340MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,5883.9,
A0080,LOCKING SCREW 4.5MMX90MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,884.4,C1713
A0081,CANNULATED SCREW THREAD 32MM X 60MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,887.17,
A0082,SCREW CORTICLE 4.5,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,175,
A0083,VHS LAG SCREW 12.7 X 95MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,1442,
A0084,1.3MM SCREW CORTEX 10-14MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,266,C1713
A0085,CANNULATED SCREW,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,980.1,
A0086,GRAFT BONE PRODENSE INJECTABLE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,14520,
A0087,CANNULATED SCREW 6.5 X 65MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,980.1,
A0089,CANNULATED SCREW 2.4 X 40MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,683.1,
A0090,PLATE 7 HOLE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,399,C1713
A0091,ACETABULAR CUP,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,4932.31,
A0093,POLY LINER 32X50 10,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,6142.49,
A0094,ACETUBULAR CUP SIZE 11 36MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,5855.85,
A0097,FEMORAL 3,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,12124.2,C1776
A0098,FEMORAL COMPONENT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,11457.6,C1776
A0099,FEMORAL COMPONENT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,11457.6,C1776
A0100,FEMORAL COMPONENT 3LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,11457.6,C1776
A0105,FEMUS RIGHT 3,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,11457.6,C1776
A0106,FEMORAL COMPONENT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,11457.6,C1776
A0107,FEMORAL COMPONENT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,11458.92,C1776
A0109,FEMORAL COMPONENT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,11794.86,C1776
A0110,BI POLAR HEAD 52,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,4012.8,
A0112,METAL HEAD 40MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,6047.38,
A0113,CERAMIC HEAD 32MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,6827.04,
A0114,HEAD 35 X 5,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,6827.04,
A0115,HEAD,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,7204.56,
A0116,ASPHERE MOM HEAD,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,5705.7,
A0117,AVOLTA MESH CYSTOSCOPY INSERT TVTO,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,3283.5,
A0119,SCREW LAG 85MM      CAT 200185,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1564,C1713
A0121,PATELLA POLY 35,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,2778,C1776
A0122,CANNULATED SCREW,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,980.1,
A0128,NAIL TROCH 11X340,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,6011.5,C1713
A0135,STEM SUMMIT CEMENTED,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,15922,
A0136,PEG LOCKING 3.0,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,270,313,
A0137,NAIL VERSA 12X150,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,7243,C1713
A0138,SCREW INT HEX CAP 5.0MM X 35MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,846,C1713
A0148,SCREW CORTICAL DOUBLE LEAD,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,993,C1713
A0160,GRAFT VASCULAR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,2716,
A0161,HEAD MODULAR/HUMERAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,9005,C1776
A0164,TIBAIL NAIL 9X33,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,6220,C1713
A0174,GRAFT VASCULAR STRETCH,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,2821,C1768
A0179,PLATE LAPUS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3395,
A0188,STEM HIP #11,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,7837,
A0189,SCREW CANCELLOUS BONE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,495,C1713
A0190,LINER ACETABULAR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,5610,C1776
A0193,CUP BIPOLAR ACETABULAR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3168,C1776
A0194,STEM HUMERAL/FEMORAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,12540,C1776
A0195,CORKCREW BIO 5.5MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,188.1,C1713
A0197,CORTICAL SCREW 3.5 X 12MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,105.6,C1713
A0198,NON LOCKING CORTICAL 3.5 X 16MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,105.6,
A0199,NON LOCKING CORTICAL 3.5 X 18 MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,105.6,
A0200,TI CORTEX SCREW 2.0MM 16MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,100.82,
A0201,SCREW 15MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1477.94,C1713
A0205,PLATE 67MM BASE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1983,
A0207,CONNECTOR SM 6-35MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3832,C1713
A0211,SIGMA PS CEM FEM SZ4 R,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,12875,C1776
A0212,TRI-SPIKE CUP 54,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,4932.31,
A0213,SHELL ACETABULAR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,2033,C1776
A0214,ACETUBULAR CUP,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,4932.31,
A0217,CUP,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,4932.31,
A0218,ACETUBULAR CUP SIZE11 52MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,7091.7,
A0219,CUP BIPOLAR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3960,C1776
A0229,BONE CORTICAL GRAFT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3217.5,
A0240,GRAFT COLLAGEN VASCULAR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3891,C1768
A0248,FEMORAL COMPONENT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,15404,C1776
A0252,PLATE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,4927,C1713
A0256,TRAY TIBIAL BASEPLATE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,5813,
A0258,PLATE LONG RIGHT DVR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,7042,C1713
A0260,STEM HIP SIZE7,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,16197.5,
A0262,CUP ACETABULAR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,6456,
A0264,PLATE 6 HOLE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,562.4,
A0265,MESH ANATOMICAL LT SIDE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,570.6,C1781
A0267,ACETUBULAR CUP,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,4932.31,
A0268,TRI-SPIKE CUP 52,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,5720.91,
A0269,HEAD FEMORAL/HUMERAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,6600,C1776
A0279,URETHRAL SUPPORT SYSTEM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,4323,C1771
A0283,FEMORAL HEAD 28MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,14190,C1776
A0284,FEMUR TAPER LOC,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,14190,C1776
A0285,HEAD FEMORAL ARTICULEZE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3019,C1776
A0287,GRAFT OTERGO PUTTY,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3630,
A0302,SCREW LAG 10.5 M,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1300,C1713
A0309,HEAD MODULAR #44,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,6171,C1776
A0310,CUT MAGNUM M24,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,11673.7,C1776
A0313,GRAFT VASCULAR STRETCH,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3633,C1768
A0315,PLATE 6 HOLES,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,396,C1713
A0321,BLADE SPIRAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1564,
A0329,CUP PINNACEL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,5948,C1776
A0330,CORKSCREW SUTURE ANCHOR #AR1925SF,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,643,C1713
A0335,LAG SCREW,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1782,
A0336,GRAFT JACKET ULCER REPAIR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,4752,Q4107
A0337,VENTURE PLATE 45MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,6354.81,
A0338,ANCHOR BIO-SUTR 3.0,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,858,C1713
A0340,PIN PRE FIXATION,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,569.18,
A0341,PLATE VENTURE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,7102,C1713
A0344,SCREW LAG,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1614,C1713
A0348,CORKSCREW BIO,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,940,C1713
A0350,SCREW CORTICAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,224,C1713
A0351,MATRIX DURAGEN PLUS 1X3 D1013,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,1430,
A0352,MATRIX DURA GEN PLUS 2X2 D1022,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,1470,
A0356,SLING OLYPROPYLENE W/TENSION SUTURE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3679,C1713
A0357,SCREW SELF DRILLING,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1557,C1713
A0358,FEMUR PFC COMPONENT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,10338,C1776
A0359,LIP TIB BRG 16X79,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3795,C1776
A0362,FILTER VENACAVA FEMORAL APPROACH 50-501,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3382,C1880
A0363,PLATE VDR NARROW PRT#PLDR30L,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,2696,
A0364,PACER DDDR PULSE GEN DUAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,275,11550,C1785
A0365,STEM FITMORE HIP,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,21763,
A0366,SCREW TSRH-30 5.5X40,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1564,
