Lakeland Community Hospital,,
Standard Charges,,
,,
SVCCD,Description,Price
111268,DIPHEN ATR 2.5\0.025,$5.50 
111269,DIPHEN ATR 5ML LIQ,$5.50 
111273,DOCUSATE 100MG C,$0.50 
111274,DOCUS CA 240MG C,$0.50 
111282,GLYCERIN RS ADULT,$0.50 
111283,GLYCERIN RS CHILD,$0.50 
111287,GO-LYTELY 4000ML,$25.50 
111289,HYOSCY 0.125MG SLT,$4.50 
111291,HYOSCY 0.375MG SRC,$4.50 
111293,HYOSCY 00.15MG T,$4.50 
111294,HYOSCY GTTS 15ML,$64.50 
111296,IPECAC 30ML,$4.50 
111299,KAOLIN PECTIN 30ML K,$0.50 
111304,LACTOB BULK PKT,$1.00 
111307,LACTULOSE 30ML OL,$3.00 
111308,LOPERAMIDE 2MG C,$1.00 
111309,MAG CITRATE 300ML,$1.00 
111313,MAG OXIDE 400MG T,$4.50 
111317,MECLIZINE 12.5MG T,$4.50 
111318,MECLIZINE 25MG T,$10.00 
111319,METOCLOPR 10MG T,$12.00 
111321,MILK OF MAG 30ML OL,$0.50 
111326,MINERAL OIL 30ML,$1.00 
111327,MINERAL OIL ST 10ML,$52.00 
111329,OXYBUTYNIN 5MG T,$12.00 
111334,PAREGORIC 5ML,$5.50 
111338,PROCHLORP 10MG T,$12.00 
111347,PROMETH RS 12.5MG,$20.00 
111348,PROMETH 25MG RS,$20.00 
111357,SIMETHICONE 80MG T,$0.50 
111358,SIMETH 40\0.6 30ML,$9.00 
111359,SOD BICARB 650MG T,$5.50 
111362,PROCHLORP RS 25MG,$20.00 
111363,SOD PHOS ENEMA AD,$10.50 
111364,SUCRALFATE 1GM T,$17.50 
111379,PHOSPHOSODA 30ML,$10.50 
111396,MAG ALD SIM 30ML OL,$1.00 
111406,METOCLOPR 10MG\10ML,$4.50 
111407,CHARC\SORB 50GM,$69.00 
111409,METHYLCEL PKT EA,$3.00 
111414,FAMOTIDINE 20MG T,$12.00 
111421,OMEPRAZOL 20MG C,$3.50 
111429,SUCRAL 1GM\10ML OL,$17.50 
111432,HYDROXYUR 500MG C,$9.50 
111438,MTX 2.5MG T,$11.00 
